term,count
need,27
think,21
it's,21
people,17
secretary,12
general,12
ensure,12
mean,12
development,12
work,12
things,11
rights,11
human,11
really,11
don't,10
say,10
i'm,10
that's,9
course,9
needs,8
countries,8
believe,8
there's,7
important,7
lot,7
women,6
change,6
different,6
doesn't,6
role,6
we're,6
try,6
dialogue,6
said,5
come,5
place,5
thing,5
member,5
ai,5
hand,5
peace,5
future,5
climate,5
security,5
table,5
institution,4
needed,4
happening,4
speak,4
mentioned,4
commissioner,4
united,4
science,4
goals,4
nations,4
high,4
states,4
institutions,4
companies,4
know,4
bring,4
they're,4
yes,4
multilateralism,4
play,4
challenges,4
going,4
agree,4
want,4
example,4
results,4
having,3
areas,3
better,3
children,3
bachelet,3
problem,3
tools,3
sit,3
sense,3
big,3
resources,3
lives,3
193,3
year,3
president,3
produce,3
rebecca,3
state,3
times,3
i've,3
good,3
early,3
principles,3
failing,3
sector,3
warning,3
improve,3
afraid,3
communities,3
world,3
places,3
issues,3
build,3
independent,3
multilateral,2
michelle,2
working,2
sitting,2
young,2
true,2
trust,2
moderator,2
somebody,2
moment,2
african,2
facilitate,2
talking,2
deal,2
clear,2
financing,2
answer,2
doing,2
realize,2
listening,2
wouldn't,2
perspective,2
et,2
cetera,2
criticized,2
endorsement,2
members,2
coup,2
governments,2
d'etat,2
everybody,2
signs,2
identify,2
capacity,2
read,2
time,2
silence,2
great,2
paris,2
finance,2
loss,2
secretariat,2
office,2
sign,2
agreement,2
usually,2
make,2
area,2
affected,2
trying,2
prevent,2
worked,2
means,2
country,2
issue,2
use,2
service,2
money,2
receive,2
loans,2
greenspan,2
way,2
possible,2
urgency,2
matter,2
life,2
today,2
given,2
debt,2
aspiration,2
bank,2
group,2
fail,2
wealth,2
4,2
international,2
created,2
defend,2
funded,2
clinic,2
owned,2
probably,2
promises,2
essential,2
step,2
beginning,2
looking,2
understand,2
humanism,2
hundreds,2
feel,2
machinery,2
respect,2
won't,2
giving,2
running,2
perfect,2
commitment,2
reform,2
let,2
honoured,2
