term,count
secretary general,12
human rights,12
member states,5
extremely important,4
artificial intelligence,4
young people,4
private sector,3
early action,3
younger generations,3
people's lives,2
multilateral space,2
early warning,2
early action hub,2
action hub,2
climate shocks,2
security issue,2
new york,2
nationally owned,2
really need,2
decision making,2
rights council,2
human rights council,2
rights architecture,2
human rights architecture,2
human dignity,2
general capable,2
secretary general capable,2
