term,count
it's,19
think,19
human,16
need,14
rights,14
general,13
secretary,12
issue,11
development,10
course,9
say,8
bring,8
climate,7
future,6
important,6
difficult,6
role,6
ensure,6
work,6
question,5
people,5
lives,5
countries,5
absolutely,5
early,5
prevention,5
member,5
states,5
young,5
world,5
space,5
intelligence,5
come,5
use,5
really,5
thank,5
extremely,4
woman,4
that's,4
younger,4
transformation,4
vision,4
believe,4
saw,4
needs,4
easy,4
science,4
artificial,4
act,4
does,4
trust,4
generations,4
charter,4
crisis,4
i'm,4
right,4
action,4
dignity,3
master,3
architecture,3
ambition,3
created,3
today,3
present,3
serve,3
speak,3
moment,3
know,3
agree,3
complex,3
sector,3
hub,3
multilateral,3
peoples,3
having,3
transform,3
years,3
understand,3
impact,3
purpose,3
new,3
delivery,3
private,3
good,3
dialogue,3
place,3
banks,2
advice,2
trusted,2
giving,2
called,2
team,2
30,2
people's,2
listen,2
taking,2
means,2
agents,2
innovation,2
want,2
lead,2
earn,2
exactly,2
credibility,2
peacemaker,2
geneva,2
parties,2
mean,2
tool,2
strongly,2
brings,2
universal,2
town,2
era,2
bonjour,2
don't,2
french,2
game,2
31,2
peace,2
frustration,2
energy,2
pillars,2
slogan,2
inform,2
best,2
warning,2
conflict,2
active,2
ability,2
said,2
ground,2
time,2
360,2
discuss,2
english,2
everybody,2
interdependence,2
money,2
political,2
worried,2
table,2
especially,2
discussion,2
colleagues,2
saying,2
solutions,2
shocks,2
security,2
continue,2
conversation,2
international,2
funded,2
help,2
owned,2
lack,2
york,2
nationally,2
shared,2
make,2
making,2
decision,2
capacity,2
technology,2
hand,2
strong,2
july,2
global,2
economic,2
jobs,2
ai,2
potential,2
council,2
power,2
multiplying,2
duplication,2
centre,2
built,2
package,2
requires,2
capable,2
leadership,2
