term,count
think,20
countries,13
need,12
know,10
important,9
human,9
general,8
it's,8
people,8
secretary,8
try,8
rights,8
world,8
don't,7
able,7
climate,6
change,6
development,6
second,6
yes,6
law,6
trust,6
really,5
country,5
today,5
effective,5
make,4
let,4
multilateral,4
right,4
question,4
point,4
skepticism,4
said,4
allow,4
happen,4
thing,4
indicators,4
real,4
peace,4
future,4
listen,4
principles,4
committee,4
choice,4
humanitarian,4
international,4
say,4
warning,4
early,4
sdgs,4
national,4
bring,4
scientific,4
partner,4
best,3
times,3
thank,3
live,3
respect,3
debt,3
tell,3
lot,3
true,3
ask,3
agenda,3
multilateralism,3
multipolarity,3
ai,3
areas,3
level,3
adaptation,3
invest,3
idea,3
voice,3
community,3
discussion,3
that's,3
good,3
start,3
unique,3
funds,3
ones,3
worked,3
information,3
finance,3
won't,3
drive,3
young,2
worried,2
build,2
invisible,2
assume,2
percent,2
let's,2
okay,2
problem,2
want,2
anybody,2
fatalism,2
better,2
conflicts,2
learn,2
comes,2
kofi,2
failure,2
policies,2
rica,2
costa,2
running,2
team,2
ground,2
did,2
believe,2
agree,2
war,2
person,2
cost,2
things,2
leader,2
risk,2
inside,2
security,2
trying,2
example,2
come,2
outside,2
capacities,2
1945,2
culture,2
annan,2
bureaucratic,2
mentioned,2
years,2
banks,2
talk,2
services,2
started,2
driven,2
laws,2
remember,2
covid,2
michelle,2
conversation,2
maria,2
hunger,2
investment,2
2,2
private,2
environmental,2
understand,2
discuss,2
digital,2
advisory,2
comply,2
difficult,2
beginning,2
farther,2
precisely,2
push,2
politicization,2
fought,2
properly,2
group,2
process,2
objectives,2
multipolar,2
away,2
small,2
choose,2
