id,word,debate,count_bachelet,count_espinosa,count_grossi,count_grynspan,count_sall
1,secretary general,gwl,11,12,0,8,3
2,human rights,gwl,10,12,0,8,0
3,member states,gwl,4,5,0,0,0
4,early warning,gwl,3,2,0,4,0
5,young people,gwl,2,4,0,2,0
6,climate change,gwl,4,0,0,3,0
7,united nations,gwl,4,0,0,0,2
8,doesn't mean,gwl,4,0,0,0,0
9,humanitarian law,gwl,0,0,0,4,0
10,extremely important,gwl,0,4,0,0,0
11,artificial intelligence,gwl,0,4,0,0,0
12,younger generations,gwl,0,3,0,0,0
13,early action,gwl,0,3,0,0,0
14,193 member,gwl,3,0,0,0,0
15,really important,gwl,3,0,0,0,0
16,high commissioner,gwl,3,0,0,0,0
17,private sector,gwl,0,3,0,0,0
18,doesn't mean endorsement,gwl,2,0,0,0,0
19,climate shocks,gwl,0,2,0,0,0
20,multilateral space,gwl,0,2,0,0,0
21,difficult areas,gwl,0,0,0,2,0
22,we're failing,gwl,2,0,0,0,0
23,early action hub,gwl,0,2,0,0,0
24,michelle bachelet,gwl,2,0,0,0,0
25,rights architecture,gwl,0,2,0,0,0
26,scientific community,gwl,0,0,0,2,0
27,rights council,gwl,0,2,0,0,0
28,warning signs,gwl,2,0,0,0,0
29,scientific committee,gwl,0,0,0,2,0
30,international law,gwl,0,0,0,2,0
31,multilateral development banks,gwl,0,0,0,2,0
32,security issue,gwl,0,2,0,0,0
33,general capable,gwl,0,2,0,0,0
34,et cetera,gwl,2,0,0,0,0
35,right policies,gwl,0,0,0,2,0
36,multilateral development,gwl,0,0,0,2,0
37,costa rica,gwl,0,0,0,2,0
38,advisory committee,gwl,0,0,0,2,0
39,really need,gwl,0,2,0,0,0
40,human dignity,gwl,0,2,0,0,0
41,national level,gwl,0,0,0,2,0
42,people's lives,gwl,0,2,0,0,0
43,193 member states,gwl,2,0,0,0,0
44,kofi annan,gwl,0,0,0,2,0
45,human rights council,gwl,0,2,0,0,0
46,secretary general capable,gwl,0,2,0,0,0
47,development banks,gwl,0,0,0,2,0
48,best team,gwl,0,0,0,2,0
49,rebecca greenspan,gwl,2,0,0,0,0
50,results needed,gwl,2,0,0,0,0
51,mean endorsement,gwl,2,0,0,0,0
52,new york,gwl,0,2,0,0,0
53,nationally owned,gwl,0,2,0,0,0
54,really believe,gwl,2,0,0,0,0
55,people want,gwl,2,0,0,0,0
56,coup d'etat,gwl,2,0,0,0,0
57,decision making,gwl,0,2,0,0,0
58,early warning signs,gwl,2,0,0,0,0
59,human rights architecture,gwl,0,2,0,0,0
60,action hub,gwl,0,2,0,0,0
