id,word,debate,count_bachelet,count_espinosa,count_grossi,count_grynspan,count_sall
1,think,gwl,21,19,0,20,0
2,need,gwl,27,14,0,12,0
3,it's,gwl,21,19,0,8,0
4,human,gwl,11,16,0,9,0
5,general,gwl,12,13,0,8,3
6,secretary,gwl,12,12,0,8,3
7,rights,gwl,11,14,0,8,0
8,development,gwl,12,10,0,6,2
9,people,gwl,17,5,0,8,0
10,countries,gwl,8,5,0,13,0
11,say,gwl,10,8,0,4,0
12,important,gwl,7,6,0,9,0
13,really,gwl,11,5,0,5,0
14,don't,gwl,10,2,0,7,0
15,work,gwl,12,6,0,0,0
16,bring,gwl,4,8,0,4,2
17,ensure,gwl,12,6,0,0,0
18,climate,gwl,5,7,0,6,0
19,course,gwl,9,9,0,0,0
20,know,gwl,4,3,0,10,0
21,i'm,gwl,10,4,0,0,2
22,world,gwl,3,5,0,8,0
23,that's,gwl,9,4,0,3,0
24,future,gwl,5,6,0,4,0
25,trust,gwl,2,4,0,6,3
26,try,gwl,6,0,0,8,0
27,mean,gwl,12,2,0,0,0
28,believe,gwl,8,4,0,2,0
29,things,gwl,11,0,0,2,0
30,issue,gwl,2,11,0,0,0
31,come,gwl,5,5,0,2,0
32,change,gwl,6,0,0,6,0
33,early,gwl,3,5,0,4,0
34,needs,gwl,8,4,0,0,0
35,role,gwl,6,6,0,0,0
36,dialogue,gwl,6,3,0,0,2
37,peace,gwl,5,2,0,4,0
38,make,gwl,2,2,0,4,3
39,said,gwl,5,2,0,4,0
40,yes,gwl,4,0,0,6,0
41,member,gwl,5,5,0,0,0
42,today,gwl,2,3,0,5,0
43,ai,gwl,5,2,0,3,0
44,lot,gwl,7,0,0,3,0
45,states,gwl,4,5,0,0,0
46,security,gwl,5,2,0,2,0
47,question,gwl,0,5,0,4,0
48,young,gwl,2,5,0,2,0
49,agree,gwl,4,3,0,2,0
50,warning,gwl,3,2,0,4,0
51,multilateral,gwl,2,3,0,4,0
52,good,gwl,3,3,0,3,0
53,thing,gwl,5,0,0,4,0
54,difficult,gwl,0,6,0,2,0
55,want,gwl,4,2,0,2,0
56,listen,gwl,0,2,0,4,2
57,place,gwl,5,3,0,0,0
58,right,gwl,0,4,0,4,0
59,lives,gwl,3,5,0,0,0
60,science,gwl,4,4,0,0,0
61,international,gwl,2,2,0,4,0
62,thank,gwl,0,5,0,3,0
63,country,gwl,2,0,0,5,0
64,able,gwl,0,0,0,7,0
65,use,gwl,2,5,0,0,0
66,understand,gwl,2,3,0,2,0
67,hand,gwl,5,2,0,0,0
68,multilateralism,gwl,4,0,0,3,0
69,principles,gwl,3,0,0,4,0
70,better,gwl,3,0,0,2,2
71,table,gwl,5,2,0,0,0
72,speak,gwl,4,3,0,0,0
73,there's,gwl,7,0,0,0,0
74,we're,gwl,6,0,0,0,0
75,having,gwl,3,3,0,0,0
76,mentioned,gwl,4,0,0,2,0
77,law,gwl,0,0,0,6,0
78,areas,gwl,3,0,0,3,0
