start	end	text
51	112	you
57002	59585	Annyeonghaseyo!
59825	60906	How are we all?
60926	74279	It's great to see you, Your Excellencies, distinguished guests, members of the media, and importantly, our youth representatives who are here today.
74780	80545	Welcome to the 21st Jeju Forum for Peace and Prosperity.
85667	94052	I'm Sharon Jeet Lail and it is a genuine pleasure for me to be here on Jeju Island, the island of peace.
94753	102738	I'm also delighted to say that we are broadcasting live on Arirang TV and on the Jeju forums YouTube channel.
103638	112586	Now, over the next 90 minutes, we are going to be asking the question that's impacting, of course, the global community.
112906	120012	And that is, how do we reimagine multilateralism in a rapidly changing world?
120753	129983	And we'll be asking that question to the women and men who are seeking to become the next Secretary General of the United Nations.
130363	137130	They will be only the tenth leader of that organization to succeed, of course, Antonio Guterres in 2027.
139205	150503	But first, let me introduce our favorite son of South Korea, the eighth Secretary General of the United Nations, His Excellency Ban Ki-moon.
151043	152866	Excellency, the floor is yours.
180477	193982	Excellencies, distinguished guests, ladies and gentlemen, and distinguished candidates for the next Secretary General of the United Nations, welcome to you all.
195683	206267	As former Secretary General of the United Nations, it is my distinct honor to welcome you all to Jeju, the island of peace.
207690	213632	It is truly moving to witness such a gathering of visionary leaders.
214872	221875	I feel the passion that fuels your commitment to our collective future.
223075	231918	And it is my firm belief that each of you is ready to shoulder the hopes of humanity.
233478	234679	Distinguished candidates,
235746	243988	Let me begin with a candid reflection from one who has walked this path before.
245048	247529	To be honest, I don't envy you.
250730	259752	When I was campaigning for the Office of the Secretary General back in 2006, there was no such forum as this.
260954	271138	no public stage where candidates could transparently present and contest their visions before the world's people.
272358	282662	In that sense, I was fortunate, but I feel for you this is a very rigorous and demanding process.
283102	284463	Be ready for that.
285563	290165	And yet, in the same breath, I truly envy you.
291694	303042	In my time, I had to seek out every opportunity, moving from capital to capital, often in the shadow of quiet diplomacy.
304243	320115	You, however, stand here on the global stage of the Jeju Forum, where you can articulate your vision with transparency and rigor before the world.
322005	335077	That openness, the opportunity to be tested on your merits in the clear light of day is a privilege I find genuinely precious.
336618	344445	Dear candidates, people often speak of the Secretary General of the United Nations as
345593	349996	the quote, present of the world, but I don't agree with this.
350897	354599	Or the secular pope, I don't agree with this either.
355059	362945	But this is what people would say, have been saying about the post of the Secretary General of the United Nations.
363807	381214	But those who have held this position before, including myself, told now, tell the truth that S.G., which is Secretary General, is often
382417	388278	in reality, quoted as the scapegoat, scapegoat.
389038	395680	SUGs are often called scapegoat, so you should be ready to become a scapegoat.
397180	408302	The position demands an immense weight of responsibility, endless reserve of patience, and at times, profound sense of solitude.
409420	427225	And yet, I envy you because one of you will work side by side with the most dedicated people on Earth, UN staff who have pledged their lives to the cause of humanity.
428906	437168	You will share burdens in the most difficult corners of the globe, and in doing so,
438770	446635	forged bonds of fellowship that no title or salary can ever replicate.
447676	462126	You will also be supported by the diplomats, business leaders, and civil society organizations who are eager to unite behind your leadership and shape the course of history.
464047	467550	Excellencies, ladies and gentlemen, dear colleagues,
468773	471395	I know all the candidates personally.
471695	475418	I have known all of you in person, in fact, without fail.
476639	495214	Having worked alongside them for years, I can attest that whoever is elected tomorrow, he or she is fully capable of assuming this post office with distinction.
497299	505044	Looking at the road ahead, I must confess again, I do not envy you.
505345	507546	Again, this is what I'm telling you.
509207	524738	Whoever assume the office of the Secretary General of the United Nations on January 1st next year will inherit an institution facing lot of challenges of truly historic proportions.
525808	540792	The United Nations is in the grips of a serious financial crisis, its authority questioned, and its credibility strained by relentless calls for reform.
542132	550935	The war in Ukraine has entered its fifth year with no clear prospect for a peaceful resolution.
551675	555156	At the same time, the conflict in the Middle East
556469	561151	more seriously the war between the United States and Iran.
562492	581440	Though the parties have signed the peace agreement, continue to inflict a profound human and economic and geopolitical cost, devastating consequences for the countries involved and the wider world.
583004	594269	On the other hand, the climate crisis grows more urgently with every passing year, maybe every passing second or hour.
595410	609997	And now, artificial intelligence, AI, introduces a new dimension of uncertainty that our existing international frameworks are wholly unprepared to address.
611294	620846	But there is another side to this, the potential for you to write an epic chapter in the history of the United Nations.
621867	625712	In this regard, the next Secretary General of the United Nations
626488	651069	will have the rare privilege of rebuilding shattered trust in multilateralism and demonstrating convincingly and concretely that the United Nations can still make a real tangible difference in the lives of ordinary people everywhere in this world.
652141	657764	you will serve as the true architect of the global agenda.
660046	668170	I still remember the moments during my own tenure that filled me with the deepest sense of purpose.
669171	681418	The day the Paris Climate Change Agreement was adopted, the day the 17 goals of sustainable development goals were adopted and endorsed,
682542	692251	unanimously by 193 member nations, and the day when the UN Women was established.
693753	700800	Those were the days when all the UN member states were united as one.
701420	705784	I am proud to have worked with a member state and
706692	708893	diligently working UN staff.
709673	714534	You will continue to carry on these initiatives.
715354	731518	The profound realization that the single collective decision could set a positive course for billions of lives, the sense of meaning is a reward I know you too will come to cherish.
733228	740752	for you will be the ones to ignite the hope when the world needs it most.
741412	747856	In that regard, I envy you more than anyone else, so you should be ready for that.
749116	761203	Excellencies, Distinguished Foreign Minister Cho Hyun of Republic of Korea, dear candidates for the next UN Secretary General, ladies and gentlemen,
762550	773120	I myself was a child of war who, with the help of the United Nations, rose to become a man of peace.
774361	786032	The Republic of Korea rose from the ashes of the Korean War of 1950 with the vital support of the United Nations and its member states.
787222	792830	having transformed from an aid recipient into donor nations.
793310	801662	Korea is, whether you believe it or not, Korea is the only country in the world accepting all those
802902	811286	regular members of OECD, that is the only country who has turned from donor receiving to donor giving country.
811886	822291	So it's not only the Korean people, there are many developing countries who are really working hard to overcome their difficulties.
822971	829394	I think Korea can show the examples to become a donor giving country.
830243	832785	that we are very much proud of that.
833866	843413	Korea now understands the value of multilateral diplomacy perhaps more deeply than any other one else.
844554	852620	Korea will remain your most steadfast partner as you embark on this bold journey.
853581	857424	And I personally will always be in your corner.
858613	872341	I sincerely hope that the conversation to be held here in Jeju right now will serve as a guiding compass for the next Secretary General and for all harmony.
873402	878705	To each of the proud candidates, again, I don't envy you.
879125	881887	I don't know why I repeat this message to you.
883463	888025	because you may soon be frustrated from day two.
888345	889825	Day one, you will be very happy.
890165	892446	Day two, be prepared for that.
893606	896187	And yet, again, I envy you.
896808	897388	I envy you.
897708	900929	I give you my full support, full, you know, support.
901449	906771	I wish you courage, clarity of vision, and great succession.
907331	908331	It's very important.
908391	909992	You are already global citizens.
910899	915221	with global vision, global season, act like a global season.
915861	918923	Again, ladies and gentlemen, thank you very much.
920063	921764	Thank you very much.
921784	922364	Thank you.
923084	925005	Thank you very much.
925045	925385	Thank you.
925405	926946	Thank you.
937031	939392	And what excellent advice.
939672	952116	And of course, as a true son of Korea and one of the most respected voices in global diplomacy, we are so grateful for your presence here today, of course, Secretary General Ban Ki-moon.
952636	961940	And next up, it is my pleasure to invite the Foreign Minister of the Republic of Korea, His Excellency Cho Hyun, to deliver his remarks.
962460	963100	Minister, please.
975325	978106	Good afternoon, ladies and gentlemen, excellencies.
979647	987892	Well, it is an honor to address this distinguished people here in Jeju.
988592	998397	Looking at the candidates gathered here, I cannot help but feel a profound sense of deja vu.
998998	1001219	Although Secretary General Pan
1002517	1007841	said that there had been no such beauty contest at the time, at his time.
1008381	1009202	There was one.
1011744	1014946	So it takes me to 20 years ago.
1015607	1025494	I was accompanying then Foreign Minister Pan to Davos, the first and the only beauty contest held in Davos.
1027015	1031138	And at the airport, when I had a chance,
1032415	1036260	I said to him an unsolicited advice.
1037541	1048073	Minister, whichever questions I address to you, make your answer short, sweet, and simple.
1049694	1052738	Well, despite my advice,
1054357	1059479	He gave enough long, sophisticated, eloquent answers.
1060619	1062400	And the rest is history.
1065160	1068722	Well, so I talked to the candidates.
1069682	1078665	Speak up and show your true colors, as did Secretary General Ban Ki-moon 20 some years ago.
1080325	1081626	On a serious note,
1082815	1089619	I am compelled to compare the challenges of the time and now.
1090960	1098605	Well, we had war in the Middle East.
1098685	1102307	The war in Iraq just finished at the time.
1102928	1110593	Now we have the war in Iran at the critical inflection point.
1112403	1116564	Back then, the civil war in Darfur just finished.
1116864	1122725	Now, today, Sudan continues to be raged by internal war.
1124026	1132047	20 years ago, achieving MDGs felt so ambitious, too ambitious.
1133668	1139249	Today, achieving SDG seems to be ever more elusive.
1141465	1155437	In that respect, I think we have been fragmented, unlike the catchphrasing word of reinventing the fragmented world.
1156578	1158659	So what is to be done?
1160201	1162603	The only big difference is that
1164010	1171837	The United Nations today has become more and more invisible, less and less visible.
1172357	1181765	So it should be the job of the next Secretary General to make it visible and lead the world.
1183026	1191433	Well, in several months' time, one of the five candidates will emerge, the Secretary General of the United Nations.
1193764	1201327	She or he will jump into the cockpit of the world plane.
1203008	1217715	And I think all of you are qualified, but whoever climbs the rudder to the cockpit will say to the rest of the world,
1219185	1224407	to go through this turbulence, fasten your seatbelt.
1226387	1243253	Well, since this will be the most unenviable job, as said by Secretary General Ban Ki-moon, we all owe our thanks to you for your courage in stepping up.
1243273	1245954	I look forward to hearing from you.
1246394	1247114	Thank you very much.
1252382	1254623	Thank you so much, Minister Cho.
1255284	1258985	Yes, some brave candidates indeed, as we've been hearing.
1259726	1270551	Now, we're going to move on to our candidates who are vying to become a Secretary General, but one of them couldn't be with us here today, and that is Michelle Bachelet.
1270631	1273753	She has kindly sent us a video message instead.
1274093	1279656	She is, of course, the former President of Chile and the former United Nations High Commissioner for Human Rights.
1279996	1281157	Let's hear her message.
1282665	1289029	Excellencies, dear friends, I deeply regret not being able to join you in person today.
1289709	1291670	A scheduling conflict made it impossible.
1292191	1307360	I hope we will have new opportunities to talk about peace and youth soon, but I did not want to miss this moment because what you are discussing matters enormously and it connects directly to why I am running for Secretary General.
1309138	1318346	The United Nations was built on a simple but radical idea that nations, however different, can choose cooperation over confrontation.
1318926	1326092	That idea is under pressure today, but I have spent my life proving that dialogue can achieve what force never will.
1326853	1335220	Multilateralism is dialogue in practice, and building consensus, even when it seems impossible, is what I have done my entire life.
1335820	1342484	as president of Chile twice, as founding executive director of the UN Women, and as high commissioner for human rights.
1344145	1346967	The question is not whether we need multilateralism.
1347287	1348828	The question is what kind?
1349749	1362717	One that prevents crisis before they explode, one that amplifies the voices of all the member states of the UN, and one that is firmly anchored in the principles and values of the UN Charter.
1363877	1376729	Strengthening that cooperation requires a secretary general who knows when to facilitate, who can build the room where agreement becomes possible, hold the channel open when parties refuse to speak.
1377489	1381833	That requires patience, discretion, and the trust of all sides.
1382494	1389220	And that trust must include everyone at the table, especially those who have been kept out of the room for too long.
1389945	1392267	Young people, above all, you know your communities.
1392347	1395409	You see what is happening on the ground.
1395789	1399211	You have ideas, energy, and a profound stake in getting this right.
1400072	1404635	We already have Resolution 2250 on youth, peace, and security.
1405015	1408417	We need to implement it and apply the same logic everywhere.
1409058	1415362	Young people must be at the table, not as observers, but as co-authors of the decisions that shape our world.
1416142	1422905	I also believe we cannot have peace without development, and we cannot have peace without human rights.
1423565	1433730	These three pillars must be treated as one, because much of what we call inevitable conflict, displacement, suffering, was actually preventable.
1434650	1439732	Prevention requires presence, investment, and the courage to act early.
1441153	1449066	That is why I offer experience, commitment and the deep conviction that the multilateralism, when it works, changes lives.
1450028	1454595	I look forward to continuing this conversation with you in person very soon.
1455436	1455797	Thank you.
1460723	1463525	Madame Bachelet, thank you very much for that message.
1463545	1472791	And now, please allow me to welcome our very brave candidates who are vying to become the next Secretary General of the United Nations.
1473251	1476173	And they will join us on stage in alphabetical order.
1476653	1484719	So, let me invite Maria Fernanda Espinosa, former President of the UN General Assembly, and Ecuador's former Foreign Minister.
1484819	1486420	Please join us on stage.
1491290	1497295	We also have Rafael Grossi, the Director General of the International Atomic Energy Agency.
1498435	1499636	Come and join us, please, sir.
1502078	1511385	And next, Rebecca Greenspan, the Secretary General of the UN Trade and Development, or UNCTAD until recently, and as well, former Vice President of Costa Rica.
1514428	1514728	We have
1515445	1523522	Carolyn Rodriguez-Brickett, Guyana's ambassador to the United Nations and former foreign minister, welcome.
1526539	1531163	And finally, we have Mackie Sal, former president of Senegal.
1531944	1538369	And of course, President Sal will be speaking in French and we have interpretation available for you all.
1539170	1541192	So once again, welcome.
1541652	1547657	We heard from Secretary General Ban earlier about what brave individuals you all are.
1547737	1554103	We heard from the Minister Cho as well saying that this is an unenviable position, of course.
1554443	1557507	And of course, we're going to get into the conversation in just a little bit.
1557547	1561732	But just before we begin, a brief word on the format.
1562493	1571664	Because in the interest of fairness and equal time and opportunities, each response is going to be limited to two minutes.
1572104	1572725	That's right.
1573105	1573967	That's not very much.
1574447	1580089	And of course, if you go a little bit beyond that, I am going to have to intervene, I'm afraid, so apologies in advance.
1580629	1588873	And of course, later in the program, I'll also be putting questions to you from the very important audience members that we have here today.
1589153	1592174	They are the youth representatives who've joined us.
1592194	1601478	And as you heard from that message from Michelle Bachelet as well, we must include them as they will inherit the world that the UN and all of us create.
1602501	1608047	But first, of course, we are gathered here on a very significant anniversary for Korea.
1608568	1612071	And of course, we know many of us from Korea will know what that is.
1612131	1614254	And that was in 1950.
1614334	1618098	This was the day of the outbreak of the Korean War.
1618538	1624424	Of course, the legacy of that makes us even more determined to achieve peace.
1625085	1640382	by all means and Jeju is as a result of that become famous the world over as the island of peace and of course it is also a place of extraordinary natural beauty so I'd like to begin with a very simple question
1641370	1648480	What is the one experience you've had here in Jeju that has particularly stayed with you?
1648860	1651364	And you have one minute for this question.
1651384	1656631	This is just testing your timekeeping to begin with, but one minute for this one, and later you'll have two minutes.
1656651	1657652	So let's start with you, Maria.
1658153	1658934	Well, thank you.
1659014	1660435	Thank you to the organizers.
1660615	1667000	And I have to say, yes, my heart beating because of the beauty of the place, because of the kindness of its people.
1667400	1677068	But I have to say one thing that I have kept deep in my heart is the Xenial women.
1677989	1685395	These are women from this island that go down deep in the sea to harvest seafood.
1686297	1693821	And they can be in the water for more than 10 minutes without an oxygen tank.
1694502	1695803	This is unbelievable.
1695923	1707970	And it shows the knowledge, the wisdom, the resilience, the quiet leadership that I see and recognize very much in the soul of the Korean people.
1708410	1715354	So kudos for the Haneul women that have shown endurance, resilience,
1715795	1716676	in deep knowledge.
1716816	1717797	I'm touched by that.
1718759	1719299	Fantastic.
1719319	1720921	You've kept to your minute, Rafael.
1723264	1723805	Thank you very much.
1723925	1724646	Great to be here.
1725827	1735859	Indeed, we know the history, we know what this place represents in good and bad, and the fact that it has become a place that represents peace
1737035	1737596	says it all.
1739356	1746259	But the one thing I was very happy about is that in record time I got an ID.
1747540	1761506	And in these times where welcoming people and protecting people becomes really challenging, that speaks miles about the welcoming attitude
1762390	1769115	And having us for this debate, which we are all looking forward to, is unique.
1769155	1772497	So looking forward to listen to my colleagues and having my pit as well.
1772537	1773358	One minute's up.
1773418	1774178	Fantastic.
1774258	1774819	That's great.
1775099	1775699	Efficiency.
1775739	1776280	We like that.
1777240	1777581	Rebecca.
1778578	1793106	Well, really, yesterday, the children that sang to us and hugged us and remind us of the warmth and the welcoming of the people of Korea, they were so wonderful.
1793947	1805334	And at the same time, looking at that and thinking about these children, wonderful children, you have to remind everybody of why we are here, yes?
1805434	1807175	Because there are many children in the world.
1807815	1817142	that are going through war, through hunger, through health issues and disease.
1817783	1833635	And so let's all come together again to cooperate, to really save all the children of the world, to really make the children that we saw yesterday the norm and not the exception.
1834416	1834916	Wonderful.
1834956	1835556	Thank you.
1835597	1836117	And Carolyn?
1836864	1837805	Thank you, Sharon.
1838505	1839006	Three things.
1839726	1849595	First, it was the stone walls last evening, and between those stone walls there were spaces, and I see that as deltas for progress, even when there is a wall.
1850404	1856365	Secondly, the rain, like a sense of renewal yesterday, today.
1856785	1860466	And thirdly, the greenery, just beautiful as well.
1861106	1864767	Greenery that we would all like to see all over our countries.
1864827	1869248	And I come from a country with 80% forest cover, so I was at home.
1869808	1874109	And lastly, just the hospitality of the Korean people.
1874289	1877070	Thank you.
1877130	1877650	Thank you.
1877670	1878830	And finally, Mackie.
1879627	1882368	Thank you.
1882848	1895370	Dear Secretary General and the government of Korea, most people come to Jeju and see the beautiful of this island.
1896970	1906792	As a geologist, I come to Jeju and I see the beautiful volcano, beautiful rocks,
1908431	1919218	that shows that this island was created by huge and powerful forces below surface.
1920899	1926122	That's why today we all know Jeju as the land of peace.
1928303	1933066	That is why I'm honored and very excited to be here with all candidates.
1933858	1938782	and I congratulate them to talk about what we have together.
1939302	1944547	This fragmented world, I hope we will have a very dynamic and very positive discussion.
1944807	1945227	Thank you.
1945527	1946048	Wonderful.
1946128	1949010	So from the perspective of a geologist, how wonderful to hear that.
1950131	1952713	Brilliant, so the first starter question out of the way.
1952873	1970586	This is now where we get to the real gist of the conversation and it is what we've heard this morning as well from Secretary General Ban Ki-moon, the issue of multilateralism being so much under strain and we know that the system globally is fragmented at the moment.
1970646	1973768	I don't need to list it out, there are so many things happening right now.
1974529	1978872	Lots of growing questions about whether existing institutions like the UN
1979392	1980792	are fit for purpose.
1980912	1988354	So alphabetically again, I'm going to start with you Maria, because many people believe of course that the UN system is becoming ineffectual.
1988594	1994955	It's a lot less effective, particularly as divisions between major powers deepen.
1995735	2003237	What do you see as the greatest weakness in today's multilateral system and how do you plan to fix it?
2004157	2004577	Two minutes.
2005432	2006092	Well, thank you.
2006132	2010533	First of all, I think that we have always experienced division in the world.
2011474	2014274	The UN was born out of division.
2015775	2021036	I think the context is perhaps different today after 80 years of history.
2021616	2025037	And I would like to mention three key words because time is short.
2026058	2029138	What are the issues that we need to rebuild and restore?
2029839	2033600	Because we're very good at diagnosis and less good at solutions.
2034300	2034900	Number one,
2036638	2037559	is trust.
2038520	2051272	We really need to rebuild trust in the organization, trust among member states, and trust between the secretary general and the secretariat and the member states.
2052053	2063080	And this is done if you are perceived, not just say, but just perceived as an impartial, honest broker.
2063941	2075148	Impartiality means that you can be legitimate to all, serve all, and bring all the parties together.
2076048	2081892	You have to be a Secretary General partial only to the Charter and to international law.
2082352	2085694	The second key word is performance.
2086574	2092238	I think the UN is experiencing the biggest implementation gap in history.
2092938	2113143	the promises that are written in the charter, the commitments we sign, the resolutions we adopt, and yet the people on the ground are not seeing how the UN is improving their daily lives, how they live in a safer environment, how they can look at the future with hope.
2113923	2119664	So to close the implementation gap, I would use another key word, accountability.
2120445	2121405	Accountability.
2122725	2128027	There is the need for a new and renewed accountability infrastructure.
2128407	2134389	And the third, my time is up, but at least I would just mention, convene and partner.
2135030	2149735	The UN is the beating heart of multilateralism, but has the responsibility and the legitimacy to bring all regions, all actors, banks, the private sector, and of course member states
2150155	2154017	together to solve the current challenges of our times.
2154117	2154698	Wonderful.
2154818	2161542	Thank you for almost meeting your two-minute mark and it's all about trust, performance and convening, which is your three points.
2162242	2170206	Rafael, I'm going to come to you about another issue that came up this morning in the leadership conversation and that is about the smaller groupings.
2170246	2174469	We heard a lot about ASEAN from the former Indonesian president as well as from
2175029	2186456	Secretary General Ban Ki-moon, those smaller groupings such as G20, all the other alliances out there, MIKTO as well we heard about, they are all there to tackle global challenges.
2186496	2192540	So do these arrangements strengthen the UN or do they risk sidelining it?
2193284	2194305	can go both ways.
2195026	2196828	The thing is how we go about it.
2197368	2204775	The existence and the presence of other groupings and then you could of course categorize this in many different ways.
2206057	2210081	You have organizations, institutions that do exist, including within
2210721	2214823	the UN system which did not exist back in 1945.
2215564	2239738	But you have these groupings and often one hears this argument that you are putting across that the UN perhaps is not reflecting the world as it is and why should it when we have the G7 or the G20 or the BRICS or the Shanghai Cooperation Organization or the Organization of Islamic Cooperation and we could continue
2240398	2241199	enumerating them.
2242079	2253766	The existence of these groupings I see as a strength in the sense that they reflect a number of circumstances.
2254667	2262151	In some cases, it's a grouping that came together because of a specific situation, like the G20 after the 2008 crisis.
2262531	2263852	In some other cases, like the
2266493	2268054	before G7.
2268434	2272936	Now it is a political, strategic evolution.
2274076	2283320	BRICS is a reply to the gathering of other types of developed economies.
2283520	2294445	So all of this is there, and through them we can at the UN system or from the UN system get
2295805	2300628	views that are reflecting this particular set of problems.
2301428	2310693	But at the end of the day, at the end of the day, the UN continues to be the only sole global platform.
2310933	2318576	Because all these groupings in all their beauty and effectiveness cannot reflect global preoccupations.
2318756	2319297	They reflect
2319897	2326523	Partial visions and rightly so but this is why we have and we will continue to have the UN
2327437	2328458	Well said, thank you.
2329278	2338443	Rebecca Greenspan, we've heard a lot about issues such as climate change, artificial intelligence as well is a key one, as well as global health.
2338463	2342205	Of course, we've come out of the pandemic a few years ago, we know how that ended.
2342945	2355391	So how should the UN work more closely, and particularly in your role at UNCTAD, you must have done very closely with the private sector, while of course maintaining its independence and legitimacy?
2356492	2368676	Yeah, let me first say that part of the thing with the global challenges is that we can fragment our actions, but we cannot fragment our problems.
2369496	2374837	And that's why we have to get together to be able to solve the problems.
2375358	2379539	When we act alone, we don't solve the problems, we just deepen them.
2380379	2386264	And with respect to the partnering, I really believe that the UN has to change the culture.
2387184	2390967	We think that everything has to happen in the UN.
2391688	2395611	And this 2026 is different than 1945.
2397372	2399794	In a good sense, too.
2399934	2403638	In 1945, maybe, all the capacities were in the UN.
2404258	2406880	But today, countries have more capacities.
2407241	2410624	There are new regional organizations that have capacities.
2410984	2414767	The private sector and the civil society has more capacities.
2415188	2418150	So we have to learn to partner.
2418891	2423295	As I say, the UN is unique, but it's not alone.
2424360	2445604	So we need to include the private sector in the conversation, especially, for example, in the frontier of knowledge and the frontier of technology for responsible AI and to close the gaps in the digital space to be able to face global health and the global challenges.
2446004	2448285	So we need to include the private sector.
2448505	2455271	Obviously, we have to do our due diligence, but we won't lose independence in doing that.
2455391	2460936	On the contrary, if we don't do that, we will lose relevance.
2461497	2463699	And I think that that's really the challenge.
2464159	2472907	The UN has to learn how to partner with the private sector, not only in asking for resources, but in harnessing the capacities
2473267	2483544	and the knowledge that is there with them and with, as I said, civil society, regional organizations that can really help the UN to get better.
2483982	2484542	Well done.
2484602	2487383	So partnership with the private sector, absolutely crucial.
2487703	2493844	Carolyn, turning to you next, the UN, of course, we've heard is under growing financial pressure.
2494424	2496664	There's lots of reforms that are being put in place.
2496704	2498745	They remain a major challenge as well.
2499145	2506206	So as secretary general, what are the two areas that you would protect above and beyond at all costs?
2506646	2513007	And what is the one part of the system that you are prepared to change significantly?
2514721	2515501	Thank you.
2515561	2517742	That's giving a lot of power to the Secretary General.
2518643	2530348	But let me say that what we have learned during this reform process is that the resident coordinator system on the ground has improved delivery
2531180	2531840	by the UN.
2532581	2538704	And I think that as we go forward in this reform process, we must protect that and we must strengthen that.
2539325	2546709	And what I've been hearing as well from the largest donors to the UN is that they would like to see more impact on the ground.
2547309	2550571	And this is one way of having impact on the ground.
2551051	2556094	So I would say that is one thing that we should protect and we should strengthen.
2556950	2566955	I wouldn't want to preempt the decision of member states in terms of the structural reforms, because that reform will change the face of what the UN looks like.
2567455	2577240	But what I think is important to do is to make sure that member states have all the information that they need to make evidence-based decisions.
2577620	2580642	So whether they decide to merge UN agencies
2581222	2588107	or to merge functions, for example, that it must be guided by evidence-based information.
2588448	2591510	So that is something that I would certainly want to see.
2592050	2599116	Now, it is highly likely that by the time the new Secretary General is there, some of these decisions are already made.
2599576	2601497	and so it's a matter of implementation.
2601997	2613464	But I also believe that in any organization, much less one that is 80 years old, that reform must be a continuous process and adjustments must be a continuous process.
2613904	2623350	The developments that we have seen over these last five, six years in terms of AI and so on, the developments before that would have taken decades.
2623630	2624831	This one is just...
2625591	2627373	took just a few years.
2627754	2632400	And so we have to be prepared to be dynamic and to move with the times and to change with the times.
2633333	2633753	Wonderful.
2633813	2634914	Thank you for that, Carolyn.
2635634	2646958	Finally, President Maguizal, of course, many countries in the Global South, yours included, argue that the UN still very much reflects the power structures of the past.
2647338	2655100	So what specific change would you make to the organization, as Secretary General, for it to be more responsible and more responsive?
2655661	2656581	Thank you very much.
2656601	2659822	I would like to start
2661460	2668207	I would like to begin with the date of birth of the United Nations, 1945.
2668227	2670329	We were 51 countries assigned.
2674485	2690837	Now we are 193 countries and the organization is working still in the same way, which shows that there is a gap between what the world has become and what the organization used to be and that gap.
2691838	2699724	It's even more important nowadays that we are facing even bigger challenges.
2700284	2710291	Those tangible things are terrorism, for example, security-related challenges, artificial intelligence, the less access of peoples
2713433	2719058	and to knowledge or financing also the violations of human rights.
2719578	2736793	That is why we need to change the organization because it is an important platform and it is the only one and it is a universal platform that has a vocation to put the world around one table and to decide about the future of the world.
2737353	2761789	And in order to bring about solutions to these challenges, I believe that we need a change, a shift in paradigm by a new redistribution, a fair redistribution, and it assumes that we have capital market access, financial markets,
2762389	2764390	not only that, but also technologies.
2764710	2772034	We talk a lot about artificial intelligence, but it shouldn't be something that is reserved to privileged countries.
2772094	2774715	That is why we need to reform the organization.
2774735	2779457	First of all, the secretariat, and then also the institution.
2779817	2790963	But I believe also that member states have to participate in this reform, and of course, opening the Security Council and our working ways.
2791083	2791763	Thank you very much.
2792043	2792783	Thank you for that.
2793183	2796244	Thank you all for keeping to your two minutes at the start.
2796404	2801806	And so importantly said, reallocating resources is needed at a time like this.
2802406	2810128	But we're now moving on very quickly, because we have limited time, of course, to the very important question of peace and security.
2810828	2826051	And in fact, the world, according to statistics, and of course you can turn the news on and you can find out yourself, is actually experiencing its highest number of armed conflicts since the end of the Second World War.
2826551	2834453	And this is a terrifying thing, and of course, which makes the role of the next Secretary General even more important and fundamental.
2835293	2836253	Maria, I'm turning to you.
2836633	2850536	Of all the crises, and there are many, as we know, facing the world today, what issue would be your top priority on day one in the job?
2852277	2864079	My answer would be that you cannot rank conflicts to say this conflict is more important than conflict B or C. Every place where civilians suffer
2865225	2876708	Every place where lives, livelihoods, hope, the future is hurt is the place for the United Nations to act and to act early.
2878429	2892853	That's why my campaign and my narrative is about prevention, is about early engagement, is about prevention as a culture, as a way of operating within the system.
2894093	2903980	I think the world wants to see a secretary general that is foot on the ground, that is present, that is persistent, that is where she needs to be.
2904781	2907723	And of course, this is absolutely vital.
2908163	2910905	When you look at what is happening in the world, you're right.
2911306	2916109	We are living the highest numbers of armed conflicts since the Second World War.
2916669	2919892	This means that perhaps the UN didn't prevent enough.
2920512	2924196	didn't act early enough and did not respond enough.
2924816	2937248	The responsibility of the Secretary General is to act early, to persist and be present, to deploy all the machinery and the infrastructure that the UN has on the ground
2937728	2943049	to decrease the suffering of civilian people, to protect people.
2943389	2949571	And when I say protect people, it includes also protecting the peacekeepers on the ground.
2950051	2958513	We have seen yesterday an excellent resolution approved by the Security Council because the duty of the UN is to protect people
2959073	2964861	to prevent conflict, to protect people, but also protect peacekeepers.
2964921	2977257	And here, my thoughts with the Korean peacekeepers and with the 4,500 peacekeepers that have lost their lives serving under the UN flag.
2977677	2982044	So no conflict is important than another conflict.
2982264	2991098	All conflicts are the work of the UN, the responsibility of the UN, and the responsibility of a present Secretary General.
2991921	2992762	Thank you for that.
2993222	2998427	Now moving on to the big nuclear issues, and of course we have the head of the IAEA himself right here.
2999047	3011658	The Security Council we know is increasingly divided, and of course nuclear risks are growing as we all know, including of course the ongoing challenges that are posed by North Korea in this region.
