term,count
think,12
people,12
general,10
secretary,8
say,7
culture,7
need,5
trust,5
world,5
thank,5
protect,5
development,5
conflict,5
human,5
ground,5
place,4
lives,4
organization,4
early,4
responsibility,4
believe,4
make,4
intergenerational,4
important,4
teams,4
peacekeepers,4
act,4
course,4
heart,4
member,3
minister,3
better,3
career,3
security,3
new,3
states,3
look,3
bring,3
just,3
knowledge,3
wisdom,3
good,3
number,3
key,3
really,3
dialogue,3
korean,3
shows,3
women,3
deep,3
plan,3
it's,3
present,3
committed,3
going,3
understanding,3
team,3
power,3
accountability,3
conflicts,3
hope,2
gap,2
word,2
future,2
implementation,2
mention,2
yes,2
resilience,2
i'm,2
beating,2
division,2
serve,2
charter,2
second,2
perceived,2
means,2
rebuild,2
time,2
history,2
different,2
like,2
absolutely,2
younger,2
staff,2
institutional,2
innovation,2
didn't,2
work,2
young,2
efficient,2
prevent,2
way,2
needs,2
infrastructure,2
prevention,2
talent,2
sense,2
role,2
intercultural,2
soft,2
30,2
hardcore,2
president,2
assembly,2
mutual,2
diplomacy,2
ability,2
speak,2
leader,2
strong,2
peace,2
rights,2
pillar,2
ambassador,2
