term,count
nuclear,14
having,10
weapons,10
don't,10
going,8
think,6
it's,6
world,6
groupings,5
believe,5
way,4
people,4
time,4
younger,4
countries,4
does,4
day,4
right,3
continue,3
organization,3
trying,3
really,3
exist,3
looking,3
know,3
need,3
reflect,3
understand,3
issues,3
care,3
end,3
problems,3
choice,3
important,3
g7,2
history,2
represents,2
place,2
good,2
says,2
thing,2
welcoming,2
thank,2
reflecting,2
course,2
different,2
existence,2
forward,2
listen,2
ways,2
protecting,2
situation,2
global,2
economies,2
cooperation,2
brics,2
like,2
g20,2
fragmented,2
coming,2
period,2
country,2
creation,2
use,2
issue,2
years,2
cases,2
number,2
saying,2
tell,2
aspect,2
generations,2
united,2
conflicts,2
nations,2
policies,2
mean,2
generation,2
solving,2
ai,2
control,2
talk,2
prudent,2
area,2
helping,2
make,2
institution,2
charter,2
solve,2
seen,2
