term,count
believe,8
countries,8
people,7
young,7
organization,7
issue,6
challenges,6
world,5
education,5
united,4
nations,4
shocks,4
2030,4
lot,4
resilience,4
need,4
new,4
important,3
change,3
bring,3
paradigm,3
course,3
trust,3
states,3
able,3
youth,3
intelligence,3
artificial,3
security,3
future,3
financing,3
facing,3
nowadays,3
way,3
member,3
redistribution,2
order,2
peoples,2
human,2
shift,2
universal,2
table,2
it's,2
gap,2
things,2
working,2
access,2
platform,2
talk,2
planet,2
lack,2
opportunities,2
think,2
especially,2
council,2
jobs,2
wars,2
communication,2
conflicts,2
time,2
purpose,2
communicate,2
generation,2
regarding,2
asian,2
rebuild,2
