start	end	text
7445	10767	And so to our first person tonight, Michelle Bachelet.
10887	15410	She served not just once, but twice as the President of Chile.
15870	18892	She was the first woman to hold that office.
22934	24115	And she went on to head...
32840	33140	Yes.
34456	37279	Michelle Bachelet, she likes doing everything in twos.
37379	45728	Twice President Bachelet, she went on to head two UN agencies, UN Women, UN Commissioner for Human Rights.
46288	51774	She trained as a pediatrician, but ended up being the Minister of Defense.
51874	56399	She is nominated by Brazil and also by Mexico.
56799	57160	Welcome.
66606	68327	Michelle Bachelet, let us begin.
68427	78495	We're going to allow you five minutes to set out your vision for why you want this job and what are you going to do with it.
78676	82098	And I have to tell you that discipline is a part of democracy.
82138	88984	I'll give you a one minute warning when four minutes are up and then I'll have to say it ends there at five minutes.
89204	89945	The floor is yours.
90205	93267	Please do this because I'm Latin American, so do that.
94428	105631	Well, the excellencies and dear friends, my candidacy for Secretary General of the United Nations is grounded on one clear conviction.
106291	108672	We must build the United Nations the world needs.
109672	115274	A UN that not merely administered the present, but one with the capacity to transform it.
116194	117835	An organization that's more effective
118735	123298	more transparent, closer to the people, and capable of delivering concrete results.
124199	139108	My own vision was born of a difficult and sometimes improbable miracle of dialogue, even though when all odds were against it, I have seen it transform the impossible into the achievable.
140109	145012	Trust in the international order and trust in our institutions are mutually reinforcing.
145942	149885	both require robust experience and firm commitment to the short term.
151166	167881	I stand before you to reclaim the urgent need for dialogue because deliberation and multilateral cooperation have been the operative platform upon which this organization was built and they remain the bridge to our future.
169142	172665	I believe in a nation that looks in four directions at once.
173603	174523	First, backwards.
175444	177705	It remains true to the principles of the Charter.
178805	183767	I think the principles of the Charter are the moral and political compass of the international system.
184787	189029	Any reform must serve to better realise that founding vision.
189809	193771	Second, inward, to modernise and strengthen the institution.
194285	211509	with transparency, efficiency and accountability, eliminating redundancies while eliminating field capacities, and turning reform from an episodic effort into continuous day-to-day commitment.
212529	216090	Third, if I said backward, inward, third is outward.
216712	217793	to reconnect with people.
218574	222519	The UN's legitimacy depends on its ability to deliver concrete results.
223400	231971	Because if people do not see the UN working, they will not believe in multilateralism and forward to collectively design the future.
232791	236032	The Centennial of 2045 is a working horizon.
236773	250938	We must design the UN of the future today, with gender parity in the Secretariat, with real representation from all regions, and with the three pillars – peace and security, development and human rights – properly financed and balanced.
252352	258897	The United Nations was stressed on three deeply interconnected pillars, peace and security, sustainable development and human rights.
259897	263280	On peace and security, prevention must lie at the heart of our action.
264297	276527	Quiet diplomacy, early warning, sustained engagement with real actors, and professional mediation are always more effective than reacting after a crisis already erupted.
277468	286896	The Secretary General must remain an active channel of communication even when consensus seems distant and must be present also in the field.
287837	291420	On sustainable development, our priorities must be to eradicate hunger and poverty.
292177	305285	reduce inequalities, close the digital divide, and advance meaningful climate action, among other things, so that we may leave young generations a world that offers them opportunity, dignity, and hope.
306166	314351	This also requires a genuine reform of the international financial architecture, so that the most vulnerable countries are not left behind.
315151	320555	On human rights, human dignity must remain at the center of everything the UN does.
321942	331790	Human rights are not only the foundation of a life lived in dignity, they are also a preventive instrument for last peace and global stability.
332591	345181	And central to this is the empowerment of women, girls and youth, whose full and meaningful participation in peace processes and decision-making is essential to building more just and resilient countries and societies.
346430	362194	I think that one of the unique elements of the United Nations is that it's the only irreplaceable space where humanity comes together to overcome common challenges in a world fragmented by disinformation, polarization, and competition of power.
362474	373317	The UN must be a place where difference becomes consensus, wars outweigh violence, and where collective decisions reflect a shared responsibility to preserve peace and human dignity.
373737	375498	The 21st century demands a UN
376018	378942	that anticipates, that prevents, that unites.
379643	388134	I am ready to lead that effort with experience, commitment and the deep conviction that multilateralism with the world changes lives.
398135	405078	Not surprisingly, you've emphasized how human rights has to be at the center of the leader of the United Nations.
405138	407799	What makes you qualified?
408380	411221	And in fact, I should ask, why would you want this job?
411281	423266	You saw when you were the High Commissioner, the tug between the world powers, between China and the United States, between speaking out in public and getting access in private.
423806	426768	What skill do you have that you can bring to the role?
427849	430010	Well, I think my skill is not only being at the UN.
430670	432451	It's the whole history of my life.
433131	439293	Because my personal political trajectory has deeply changed myself.
439994	448997	Having been a young girl, when the Chicup d'etat happened in my country, my father, who really believed in rule of law, was put into prison and died by torture.
449397	452199	Me and my mom were also in prison and went to exile.
452819	455360	And then I learned what happens when institutions fail.
456360	459181	when some people take power and don't respect the rule of law.
459902	467665	And then after we've been in exile, I learned the importance of multilateralism because I saw solidarity with the people who were suffering.
468206	482032	And I think not only because of the help of countries, external countries, of course the battle for democracy in our own country, but so far for important countries, help Chile go back to democracy.
483032	496786	When I was elected president of Chile, the first woman president of my country, I also served twice, and also served as cabinet member, as health minister and defense minister, also the first in those positions.
497487	503273	And as you know, as the first executive director of UN Women and afterwards as High Commissioner of Human Rights,
504293	514058	In 20 years of my public life, both in national and international, I have combined the fundamental principles with realistic practical leadership.
514759	519741	But I have been in places where I have to deal with very complicated situations.
519941	520942	And very powerful forces.
521262	521502	Yeah.
522043	523824	And I have been able to do that.
525425	533750	And also, another thing I think it gives me how the way I act is that I'm a physician, a pediatrician, and epidemiologist.
534311	538133	So I'm not only looking at the symptoms.
538654	539935	I'm looking at the root causes.
540015	543997	Because if you don't understand what's there, you won't find the real solution.
544278	546459	And just one example.
547159	548200	Many countries have been there.
550279	552121	every weekend fights, killings.
552681	556264	And it was not, there was different ethnic group, but it was not a matter of identity.
556664	559367	It was a matter of lack of water and soil.
559747	565612	So if you want to find the solutions to those and prevent conflict happening, you need to understand really.
565772	567233	And for that, you need to be on the ground.
567753	567994	Okay.
568014	573939	Well, we've got a lot of questions for you, but first I have to ask you the one for eight billion campaign.
574119	575420	You're, you're not, you know about it.
575980	577802	The UNA UK is obviously part of it.
577822	579183	They pulled in all candidates.
579795	585960	to commit publicly to five principles, and everyone here is going to remember, so only tell the truth and nothing but the truth.
