term,count
secretary general,13
peace security,7
human rights,7
need continue,5
united nations,5
climate change,4
civil society,4
et cetera,3
humanitarian assistance,3
member states,3
think need,3
countries help,2
continue doing,2
concrete results,2
climate action,2
cetera need continue,2
civil society organizations,2
believe secretary general,2
cetera need,2
believe secretary,2
good offices,2
et cetera need,2
early warning,2
development human,2
exile learned,2
development human rights,2
design future,2
peace security thing,2
need think,2
human dignity,2
pillars peace,2
protect lives,2
rule law,2
principles charter,2
pillars peace security,2
security council,2
said need,2
security thing,2
society organizations,2
thing think,2
sustainable development,2
think need continue,2
youth office,2
