term,count
need,27
think,18
general,16
believe,16
secretary,13
countries,12
peace,10
rights,9
women,9
human,9
security,9
don,8
life,8
reform,8
people,8
said,7
climate,7
continue,7
thing,7
say,7
world,6
things,6
field,6
ve,6
ensure,6
development,5
lot,5
know,5
needs,5
like,5
make,5
nations,5
international,5
united,5
really,5
mean,5
solution,5
dignity,4
group,4
gender,4
youth,4
society,4
member,4
representation,4
civil,4
conflict,4
charter,4
assistance,4
change,4
want,4
doesn,3
decisions,3
experience,3
happening,3
action,3
different,3
building,3
commitment,3
course,3
country,3
cost,3
cetera,3
future,3
doing,3
better,3
best,3
remain,3
prevent,3
real,3
principles,3
results,3
et,3
mediation,3
multilateralism,3
looking,3
help,3
money,3
multilateral,3
won,3
working,3
supporting,3
trying,3
understand,3
states,3
work,3
saw,3
lives,3
ll,3
humanitarian,3
important,3
organization,3
present,3
girls,2
exile,2
going,2
good,2
happens,2
happen,2
day,2
deal,2
deeply,2
defense,2
democracy,2
design,2
agenda,2
areas,2
able,2
50,2
avoid,2
backlash,2
example,2
forward,2
exist,2
dialogue,2
ecosoc,2
effective,2
elected,2
effort,2
empowerment,2
eliminating,2
early,2
complicated,2
concrete,2
chile,2
build,2
capacity,2
common,2
consensus,2
council,2
conviction,2
knows,2
key,2
law,2
lack,2
hobby,2
improved,2
president,2
power,2
positions,2
political,2
pillars,2
places,2
person,2
parity,2
ones,2
participate,2
opportunity,2
organizations,2
new,2
ngos,2
office,2
offices,2
mentioned,2
mechanisms,2
minister,2
moral,2
inward,2
just,2
insist,2
institutions,2
long,2
leaner,2
learned,2
maintain,2
making,2
matter,2
meaningful,2
means,2
solutions,2
situations,2
serve,2
served,2
rule,2
saying,2
second,2
secretariat,2
push,2
protect,2
problems,2
prison,2
priorities,2
prevention,2
reality,2
resources,2
try,2
trust,2
transform,2
tools,2
today,2
support,2
sustainable,2
table,2
sort,2
space,2
strongly,2
vision,2
warning,2
yeah,2
years,2
young,2
