start	end	text
7215	11181	And now to our second candidate, Maria Fernanda Espinosa.
11301	12783	She has served twice.
13364	14766	Women always want to do it twice.
14786	16949	They do it so well that people ask them to do it again.
17450	21496	Twice as Ecuador's foreign minister, she was the Minister of Defence as well.
22297	28882	In 2018, she was elected president of the 73rd session of the UN General Assembly.
28922	38050	She's the first woman from Latin America to have that job, and only the fourth woman in the history of the entire assembly.
38990	43954	Maria Fernanda Espinosa is nominated by Antigua and Barbados.
44054	47257	Please join me in welcoming Maria Fernanda Espinosa.
57475	58896	Thank you very much.
59076	63259	I love she's got good fashion sense.
67482	72665	Maria Fernanda Espinosa, you have five minutes to settle your vision.
72905	77048	Why do you want this toughest of jobs and what are you going to do with it?
77408	81511	And I will give you a warning at four minutes.
84112	84833	Thank you, Lise.
86217	91780	Excellencies and friends, it is a true pleasure to be back in London.
92581	103127	I was here already in January at the invitation of UN and UK and what I did is I spoke about a world in crisis.
104508	113814	Conflicts, famine, climate shocks, whining of global cooperation, the UN under strain.
115596	118819	And I wish I could say things have improved.
119860	122062	And we know they haven't.
123643	127306	That is why I want to speak plainly this evening.
128867	131209	Nobody wants another careful speech.
132310	134472	What we need is we need action.
135994	138616	And I want to focus on four things this evening.
139517	143200	First, I want to talk about prevention.
144619	154564	The UN was created to prevent war, a solemn promise made when bombs were still raining down in this city.
155544	160307	But too often, the UN arrives after the worst has happened.
161307	163508	What we need is bold ideas.
164669	169191	As Secretary General, I will establish a prevention and early action hub.
170191	172274	And its purpose is very simple.
173054	182306	To ensure that warnings reach decision makers early and that action can be taken before the situation gets worse.
183789	190474	The Secretary-General must always be ready to lead these efforts.
191235	204185	She must focus on addressing the consequences of a crisis, whether that's diplomacy to secure life-saving support or working together to manage energy shocks or food shortages.
205193	216639	And the Secretary-General must recognise when the UN needs to be centre stage, but also when it's a better place to play a supporting role.
218059	224783	Second, we must put people at the heart of development, not the UN.
225993	233338	With support from countries like the UK, the UN has saved and transformed millions of lives.
234078	236179	We must not forget that.
237560	241983	The Sustainable Development Goals remain the right ambition.
242923	245325	But ambition is not action.
246165	250368	Countries do not need another summit or another slogan.
251289	252810	They need the money.
253736	257680	the technology and the institutions to deliver for their people.
260302	264165	Developments cannot be delivered from New York.
265106	266367	I strongly believe that.
267488	277938	We need a leaner UN that can focus on where it adds most value, a local first approach that empowers people and governments.
278941	285403	Third, we need to work together to harness and manage the power of AI.
286303	287663	This is not a tech issue.
288504	290164	It is a security issue.
290904	292465	It is a jobs issue.
293425	295606	It is a rights issue.
296706	300527	No single state or company should call the shots.
301509	317133	The UN cannot and should not regulate everything, but it must bring people together, including civil society and young people, those that are normally shut out of these conversations.
317753	322455	And finally, we have to change the UN for the better, not the cheaper.
323455	325037	Yes, we have to cut costs.
325457	326378	That is essential.
326659	328601	But that cannot be our only goal.
328741	330983	Reform must mean doing better.
331664	335308	That means focusing on demand, not supply.
335829	342796	That means being prepared to let go of some functions entirely and focus on the organization's greatest strengths.
343637	355844	Ultimately, you, in this room and outside, will not judge the UN by the number of reform initiatives, nor by whether it has improved your lives and your future.
356705	359586	That is the UN I want to build.
360387	363929	With governments, with a strong leadership team, and with you, of course.
364509	369032	I do not pretend to have all the answers, but this is not a task for one individual.
369372	372574	The United Nations is a promise we must all keep.
373814	375695	So here's what I offer.
376836	380459	A life devoted to serving my country and the international community.
381079	387344	An insider-outsider perspective as someone who understands the system but is not captured by it.
388164	394349	A track record of working across all the pillars of the UN and with people from all walks of life.
395411	405698	a firm commitment without fear or favor to the values of the Charter, to international law, and to serving all Member States and the world 8 billion people.
406518	416965	This summer, I suspect many of you will be hoping that England's men's team will lift the World Cup after 60 long years of waiting.
418385	423749	Well, it has been 80 years of waiting for a woman to lead the UN.
425317	434222	So this is our opportunity to show the UN can walk the talk on equality and results.
434522	437063	This is the United Nations I'm prepared to build.
437464	440785	Not a perfect institution, but a serious, compassionate one.
441346	446528	Not a louder UN, but a more relevant one that delivers where it matters most.
446909	447409	I thank you.
456692	465750	So you've talked about the wars, you've talked about the moments where the UN has to be centre stage, you've mentioned that no one power should call the shots.
465851	466171	Why?
468707	475132	talents, skills, experience do you have that make you the person to accomplish that?
475193	485101	You were, after all, the president of the General Assembly during President Trump's first term, where the issues of resources and relevance were really accentuated.
485401	486222	What did you learn then?
486242	492888	Well, I think I have the experience to navigate in turbulent waters.
493614	496715	I think the UN has never been Disneyland.
497036	511002	I think that what is important is to see a secretary general that is impartial, that is able to build bridges, to work with everybody.
511502	514503	I have shown that when I was president of the General Assembly.
515024	517425	I think we need a secretary general that is
519214	531700	360 secretary-general that knows every pillar of the UN, that is not a person that is not a single-issue person, but more like a Renaissance leader.
533746	550637	You also need, what I just said, Liz, you need an insider-outsider, knowing how the UN works, its potential, its challenges, but have, you know, been able to not be captured by the UN.
550677	558102	I have never worked for the UN, but served the UN in many ways through the UN for about 25 years.
561104	565267	I think António Guterres would have also called himself an insider-outsider, and yet here it is.
565767	567248	He's not at the center.
567268	569410	He's not with the UN at the center stage.
570150	572672	In one word, what quality do you have that can make a difference?
573872	574253	Poet.
575473	575834	Poet?
576434	576674	Yes.
577875	578936	I'm a poet.
579076	581657	I strongly believe in the power of words.
582358	585040	I strongly believe in the power of narratives.
585200	586360	So communication skills.
586681	590163	Communication, but also being faithful to what you say.
590868	591568	Okay.
591688	593549	And I think it's absolutely important.
593709	600572	As a poet, I learn, first of all, to observe, to deep listen, and to act, and act firmly.
601152	601412	Okay.
601432	605734	And I also, of course, learn about beauty and about creativity and innovation.
607227	611448	We're going to give you some questions from the audience, but first we need to hear some commitments from you.
611468	624551	The 148 billion campaign of which the UK Association of the UN is a member has called on all candidates to commit publicly during this campaign to five principles.
624771	627151	And everyone here will remember what you said.
627311	628851	So please think carefully.
629732	636173	Publishing financial disclosures, engaging with civil society, participating in
637139	652308	transparent General Assembly and Security Council processes, respecting Article 100 of the UN Charter, as you know, that means independence from member states, and avoiding conflicts of interest with any current UN role.
653549	655690	Are these principles important, and if so, why?
656611	657992	I think that they're vital.
658592	664676	When I think about integrity, I don't think that integrity should be proclaimed.
665476	666417	It should be earned.
667423	673329	through consistent behavior, and I can show that throughout my 25 years of career and public life.
674109	682578	The second very important issue is I would sign the five principles that I read carefully right away, just now.
682598	686261	We'll get that from you.
686321	692047	When I was exploring the possibility of putting my name forward as Secretary General,
692978	698520	I was the executive director of a very small NGO, not a UN agency.
700321	710524	Before I started the consultations, I stepped down from my job just in case there was perception of conflict of interest.
710624	712385	The issue of civil society,
714388	716709	It's a little bit of who I am.
717430	723174	In civil societies, participation and engagement is not only about ticking the box.
724035	730080	It is about understanding that the huge implementation gap of the United Nations
730946	747595	is due to the lack of ownership, the lack of co-responsibility and lack of space of civil society to do the advice, the advocacy, the translation of UN decision-making into the daily life of people.
747955	751016	So the role of civil society is absolutely vital.
751336	761358	Disclosing the financial, of course, not at the beginning and at the end, but during the process as well, ready to do that, very happy to do that, of course.
761678	762078	Okay.
762238	763958	That will make many people here very happy.
764398	774440	Your first question from the audience, David Cheeseman, who's from the UNA UK, he's a member, convenes a working group on accountability and the UN Security Council.
775080	775620	Veto.
776281	790808	His question, as Secretary General, what would you do to stop vetoes in the Security Council blocking credible action, especially when it comes to addressing, I'd like to add the word preventing, mass atrocities?
792329	792789	The veto.
793889	794970	What would you do to stop them?
796011	797171	The veto power.
797491	798852	I'm assuming you would want to stop them.
799696	803061	What I'm saying is that the veto power is written in the Charter.
803381	805464	It's a principle that is in the Charter.
806045	808368	And I think we have to be very frank and honest.
808809	812073	What is the space of movement of the Secretary General?
812481	825393	The Secretary General should provide good offices, create the platforms for member states, especially the P5 and the members of the Security Council, to come together to discuss issues, to respond quickly.
825893	834381	That's where my early action hub makes sense, because the role of the UN is to prevent wars and protect people.
834661	840285	You don't think there should be a veto when it comes to the worst abuses, the worst violations?
840345	847990	I can have my personal views on this, but I think what we're talking here is what is the role of the Secretary General.
848310	861600	And the role of the Secretary General is a quiet diplomacy, back channels, to have a permanent and constant interaction and communication with the members of the Security Council, including the P5.
862120	864202	Here, my personal opinion doesn't count.
864542	874733	I will be the chief administrative officer of the UN, the lead diplomat, the lead advocate, but I cannot reinterpret the Charter, unfortunately.
874753	880578	So, just to be absolutely clear, just a very short answer, you would do nothing to stop vetoes from being used?
881299	889606	I can use my good offices in talking to the members of the Security Council, especially to the permanent five, of course.
889886	891148	It doesn't need to be public.
891288	893209	It doesn't need to make headlines.
893469	896092	That's part of the job of the Secretary General.
896612	898374	We have a question from the audience.
898894	901656	Kimber and Ryan from the Advocacy Academy.
905280	905440	No?
906120	906861	Yes, all good.
909787	910988	Go ahead.
912789	923375	So young people from our movement have reported feeling hopelessness around the future they are inheriting, facing an economic system and state institutions that do not value them.
923996	928098	How would the United Nations create a more hopeful future for young people?
928598	933401	What would a youth-centered economic system look like, and why is it not being delivered?
933421	938084	A more hopeful future for young people, give them a role in decision-making.
939817	946959	Well, now it's in fashion to say, you know, young people are important, youth are important.
948019	955141	In the process of negotiating the pact of the future, we came out with a declaration for future generations.
955941	961083	And the truth is that young people are not the future, they are the present.
961710	965955	They have to be part of the conversation, part of the decision making.
966516	971942	If you look at the team that is working with me right now, most of them are under 30.
972443	975967	And I listen to them because they are the most creative.
976067	978751	They are the smartest, the well-informed.
979251	980672	And what would you do to include them?
981052	988314	Well, first of all, we have the Declaration on Future Generations, a new and I applaud that a new office for young people.
988674	996397	But basically, I would recruit as part of my senior team, young people, I'm working with them right now, and I will ensure
996777	1009408	that decision-making in the House brings in the advice, the voice and the space for young people to be part of a new multilateralism of the 21st century.
