term,count
secretary general,12
young people,6
human rights,5
united nations,4
decision making,4
civil society,4
member states,3
climate change,3
security council,3
human dignity,3
strongly believe,3
climate shocks,2
action hub,2
early action,2
sustainable development goals,2
new york,2
rights issue,2
early action hub,2
development goals,2
sustainable development,2
don't think,2
think it's,2
25 years,2
insider outsider,2
right ambition,2
huge implementation gap,2
implementation gap,2
huge implementation,2
good offices,2
veto power,2
absolutely vital,2
doesn't need,2
good initiatives,2
future generations,2
good idea,2
defining challenge,2
