term,count
think,17
need,15
people,14
general,13
secretary,12
issue,10
course,10
climate,10
it's,8
good,8
development,8
say,8
human,8
right,7
know,7
important,7
action,6
years,6
rights,6
security,6
young,6
life,5
working,5
decision,5
better,5
want,5
future,5
i'm,5
civil,5
power,5
perspective,5
new,5
role,5
thank,5
change,4
believe,4
society,4
united,4
charter,4
just,4
said,4
team,4
listen,4
focus,4
nations,4
today,4
complexity,4
especially,4
making,4
that's,4
countries,4
lead,4
world,4
things,3
ambition,3
worst,3
early,3
pillars,3
states,3
space,3
implementation,3
council,3
come,3
doesn't,3
veto,3
vital,3
job,3
members,3
nature,3
dignity,3
entire,3
time,3
look,3
don't,3
conflict,3
initiatives,3
person,3
absolutely,3
country,3
work,3
strongly,3
lack,3
yes,3
build,3
delivered,3
shocks,3
member,3
prevention,2
hub,2
york,2
institutions,2
goals,2
money,2
second,2
like,2
lives,2
sustainable,2
support,2
diplomacy,2
ensure,2
manage,2
needs,2
energy,2
centre,2
supporting,2
ready,2
talk,2
speak,2
evening,2
promise,2
prevent,2
uk,2
crisis,2
improved,2
bring,2
serving,2
prepared,2
means,2
answers,2
strong,2
including,2
act,2
learn,2
communication,2
okay,2
poet,2
25,2
liz,2
challenges,2
able,2
leader,2
pillar,2
outsider,2
captured,2
international,2
long,2
waiting,2
insider,2
outside,2
reform,2
single,2
governments,2
local,2
state,2
principle,2
process,2
advice,2
huge,2
gap,2
public,2
integrity,2
small,2
box,2
permanent,2
talking,2
we're,2
personal,2
discuss,2
respond,2
offices,2
p5,2
house,2
multilateralism,2
declaration,2
coming,2
does,2
peace,2
generations,2
make,2
budget,2
dedicated,2
idea,2
living,2
understood,2
connected,2
health,2
factor,2
31,2
times,2
defining,2
challenge,2
responses,2
developing,2
elders,2
amazon,2
