term,count
general,15
think,15
secretary,13
it's,13
important,10
time,9
say,9
united,9
course,9
nations,9
need,8
thank,7
organization,7
terms,7
world,7
having,7
know,7
crisis,6
believe,5
development,5
principles,5
best,5
energy,5
job,5
happening,5
things,5
role,5
going,5
yeah,5
person,5
issue,4
climate,4
countries,4
international,4
war,4
iran,4
sense,4
particular,4
happen,4
security,4
look,4
mission,4
work,4
just,4
states,3
man,3
moral,3
women,3
today,3
come,3
possible,3
years,3
seen,3
comes,3
doing,3
issues,3
bring,3
referring,3
creating,3
evidence,3
charter,3
woman,3
talk,3
play,3
ukraine,3
peace,3
expression,3
words,3
able,3
said,3
thing,3
opinion,2
place,2
case,2
day,2
multilateral,2
needn't,2
taken,2
goals,2
reigns,2
certain,2
ongoing,2
solution,2
we've,2
right,2
there's,2
experience,2
conviction,2
principle,2
idea,2
better,2
platform,2
russia,2
influence,2
confidence,2
possibility,2
ability,2
africa,2
places,2
interstate,2
everybody,2
remember,2
candidates,2
trying,2
don't,2
selecting,2
capacity,2
anybody,2
active,2
iaea,2
99,2
article,2
times,2
common,2
problem,2
elected,2
depends,2
ask,2
accountable,2
bit,2
offices,2
way,2
moment,2
voice,2
absolutely,2
agendas,2
closely,2
representatives,2
special,2
economic,2
philanthropists,2
make,2
stake,2
engage,2
contributions,2
trust,2
difficult,2
deficit,2
donors,2
private,2
sector,2
