start	end	text
7019	9940	We have our last candidate now, Rebecca Greenspan.
10481	17043	She's on special leave from her role as Secretary-General of UNCTAD, the UN Trade and Development.
17083	21585	She's the first woman to head UNCTAD in its 60-year history.
22146	31690	Before that, she served as Under-Secretary-General of the United Nations Development Program, UNDP, Secretary-General of the Ibero-American Conference,
32410	37694	and Vice President of Costa Rica, and she is nominated by her country, Costa Rica.
38054	40176	Please join me in welcoming Rebecca Greenspan.
50363	51364	It's so good to see you.
51524	53045	Nice to see you.
53065	57148	Thank you.
58449	59270	Last but not least,
60055	62236	You have five minutes to convince us.
62396	65316	What is your vision as UN Secretary General?
65356	67197	Why would you want the job and how will you do it?
67457	71018	And at four minutes, I'll give you a one minute warning.
71438	74359	Can I do this so I don't give you my back?
74479	75539	I can see all of you.
75779	77319	Is that okay with you?
77499	77719	Yes.
78199	78460	Okay.
79260	82300	So why am I running?
82781	84201	Yes.
85401	88002	I have said that the UN
88853	92596	And the world today is in a difficult moment.
93377	100463	Conflicts are going up, as everybody has said, and they are on the peak since 1945.
101104	105708	Trust in the organization is going down, and time is running out.
106969	108750	And I believe in the UN Charter.
109171	111733	I believe in the principles of the UN Charter.
112394	112914	I have said,
114709	126315	the daughter of peace, of two refugees of the Second World War that were able to have a dignified life because they found peace and respect in Costa Rica.
127436	134479	And I know what war takes away from you and what peace makes possible.
134980	140843	And that's why I'm running, because this is a consequential moment
141603	149445	for the international system, for international law, for the UN, and I want to be part of the solution.
149545	155367	I want to be the leader of an organization that means so much for so many.
156947	163649	Now, I am defending the UN, but not necessarily I am defending the UN as it is.
164906	174070	The UN has to reform and has to be more agile, more flexible, more nimble in certain ways.
174670	177971	It has to learn how to partner with others.
179152	184534	You know, in the UN, we have this mentality that everything has to happen inside the UN.
187173	194621	not only countries have more capacities, but there are regional organizations today that did not exist in 1945.
196823	206447	And we need to allow new actors to take a center stage in challenges that the world is facing.
206987	211028	The private sector has more capacities today, civil society.
211668	224473	So it's not only to bring them to the UN, it's for the UN to go to them and be able to support what they do, the things that they can solve, also help us to solve them.
225253	235882	And we are too accustomed to compete all the time between us and with the external world to be alone in the centerpiece of everything.
236703	251155	And when I say that the UN has to change and I have used a phrase that has been misinterpreted because I have said the UN cannot do more with less because we cannot do that forever.
252477	254841	So we need to do less with less.
254981	260089	But let me correct that and say we have to be more strategic in what we do.
260469	264916	We cannot just add on with less resources all the time.
266158	268041	My second point is peace.
269652	278514	And there we have to, you know, I have going around when I step down from the ANTA job to dedicate myself to the campaign.
279414	282195	And people ask me the same question.
282815	284675	Where is the UN?
285375	289576	You know, in these scenarios of conflict around the world, they don't see us.
290556	294917	And it's true that preventive diplomacy is something that you don't see.
295997	298818	But it's also true that there are things happening
299865	306856	in the negotiations, where conflicts are being resolved, where agreements are being forged, and the UN is not there.
307819	312182	So my second point is that the UN has to be back at the table.
313242	317745	And for that, the office of the Secretary General has to change.
318886	325130	The office has to be structured to have the capacity to support the good offices of the Secretary General.
325170	332895	That is the one thing that is clear in the Charter as the task of the Secretary General.
333715	337177	And we have to reform ourselves to do that.
337258	339819	And I can expand on that if you want.
339839	340580	You have 30 seconds.
341120	344122	And third, we need to think about the future.
344422	346944	We have to cooperate for the future.
347404	350326	Young people are anxious about their jobs.
350526	352687	Women are anxious about their rights.
353368	356250	So let's have also positive agenda.
356270	359472	There are so many good things happening at the same time.
360152	367537	Let's be able to have, you know, a coalition for cooperation for the future that makes sense for everybody.
376682	380504	The toughest of times, some would say the toughest of times in the UN's 80 years.
381385	387169	What gives Rebecca Greenspan the skills, the experience to make sure the UN is there?
387429	389110	What do you have that others haven't had?
390505	394209	Well, first of all, I have done a lot of things in my life.
394529	396211	But this is a difficult challenge.
396271	398994	What have you done that makes you qualify for this job?
399434	402678	I know that for many people this is an impossible job.
402998	405020	It has been described that way.
405060	405321	Yes.
406842	409664	I have had to deal with very difficult situations.
409764	417249	When I started my career in Costa Rica, we were in the last decade of Latin America.
417349	422252	We had defaulted in our debt, and I was in the Ministry of Finance.
423152	430698	And I had to navigate that situation that was with huge constraints, with huge pressures on you.
