term,count
secretary general,13
civil society,5
young people,5
office secretary,4
office secretary general,4
financial rules,4
human rights,3
costa rica,3
don know,3
assessed contributions,2
black sea,2
human rights pillar,2
know mechanisms,2
know secretary,2
financial problem,2
bureaucratic structure,2
entry point,2
don true,2
mechanism human rights,2
mechanism human,2
main mechanism human,2
main mechanism,2
people don,2
people don know,2
mechanisms use,2
people come,2
rights pillar,2
people enter,2
things happening,2
second point,2
think things,2
trust organization,2
yeah know,2
young people come,2
