segment,start,end,duration_seconds,text
14,71.438,74.359,2.92,Can I do this so I don't give you my back?
15,74.479,75.539,1.06,I can see all of you.
16,75.779,77.319,1.54,Is that okay with you?
17,77.499,77.719,0.22,Yes.
18,78.199,78.46,0.26,Okay.
19,79.26,82.3,3.04,So why am I running?
20,82.781,84.201,1.42,Yes.
21,85.401,88.002,2.6,I have said that the UN
22,88.853,92.596,3.74,And the world today is in a difficult moment.
23,93.377,100.463,7.09,"Conflicts are going up, as everybody has said, and they are on the peak since 1945."
24,101.104,105.708,4.6,"Trust in the organization is going down, and time is running out."
25,106.969,108.75,1.78,And I believe in the UN Charter.
26,109.171,111.733,2.56,I believe in the principles of the UN Charter.
27,112.394,112.914,0.52,"I have said,"
28,114.709,126.315,11.61,"the daughter of peace, of two refugees of the Second World War that were able to have a dignified life because they found peace and respect in Costa Rica."
29,127.436,134.479,7.04,And I know what war takes away from you and what peace makes possible.
30,134.98,140.843,5.86,"And that's why I'm running, because this is a consequential moment"
31,141.603,149.445,7.84,"for the international system, for international law, for the UN, and I want to be part of the solution."
32,149.545,155.367,5.82,I want to be the leader of an organization that means so much for so many.
33,156.947,163.649,6.7,"Now, I am defending the UN, but not necessarily I am defending the UN as it is."
34,164.906,174.07,9.16,"The UN has to reform and has to be more agile, more flexible, more nimble in certain ways."
35,174.67,177.971,3.3,It has to learn how to partner with others.
36,179.152,184.534,5.38,"You know, in the UN, we have this mentality that everything has to happen inside the UN."
37,187.173,194.621,7.45,"not only countries have more capacities, but there are regional organizations today that did not exist in 1945."
38,196.823,206.447,9.62,And we need to allow new actors to take a center stage in challenges that the world is facing.
39,206.987,211.028,4.04,"The private sector has more capacities today, civil society."
40,211.668,224.473,12.81,"So it's not only to bring them to the UN, it's for the UN to go to them and be able to support what they do, the things that they can solve, also help us to solve them."
41,225.253,235.882,10.63,And we are too accustomed to compete all the time between us and with the external world to be alone in the centerpiece of everything.
42,236.703,251.155,14.45,And when I say that the UN has to change and I have used a phrase that has been misinterpreted because I have said the UN cannot do more with less because we cannot do that forever.
43,252.477,254.841,2.36,So we need to do less with less.
44,254.981,260.089,5.11,But let me correct that and say we have to be more strategic in what we do.
45,260.469,264.916,4.45,We cannot just add on with less resources all the time.
46,266.158,268.041,1.88,My second point is peace.
47,269.652,278.514,8.86,"And there we have to, you know, I have going around when I step down from the ANTA job to dedicate myself to the campaign."
48,279.414,282.195,2.78,And people ask me the same question.
49,282.815,284.675,1.86,Where is the UN?
50,285.375,289.576,4.2,"You know, in these scenarios of conflict around the world, they don't see us."
51,290.556,294.917,4.36,And it's true that preventive diplomacy is something that you don't see.
52,295.997,298.818,2.82,But it's also true that there are things happening
53,299.865,306.856,6.99,"in the negotiations, where conflicts are being resolved, where agreements are being forged, and the UN is not there."
54,307.819,312.182,4.36,So my second point is that the UN has to be back at the table.
55,313.242,317.745,4.5,"And for that, the office of the Secretary General has to change."
56,318.886,325.13,6.24,The office has to be structured to have the capacity to support the good offices of the Secretary General.
57,325.17,332.895,7.72,That is the one thing that is clear in the Charter as the task of the Secretary General.
58,333.715,337.177,3.46,And we have to reform ourselves to do that.
59,337.258,339.819,2.56,And I can expand on that if you want.
61,341.12,344.122,3.0,"And third, we need to think about the future."
62,344.422,346.944,2.52,We have to cooperate for the future.
63,347.404,350.326,2.92,Young people are anxious about their jobs.
64,350.526,352.687,2.16,Women are anxious about their rights.
65,353.368,356.25,2.88,So let's have also positive agenda.
66,356.27,359.472,3.2,There are so many good things happening at the same time.
67,360.152,367.537,7.38,"Let's be able to have, you know, a coalition for cooperation for the future that makes sense for everybody."
71,390.505,394.209,3.7,"Well, first of all, I have done a lot of things in my life."
74,399.434,402.678,3.24,I know that for many people this is an impossible job.
75,402.998,405.02,2.02,It has been described that way.
76,405.06,405.321,0.26,Yes.
77,406.842,409.664,2.82,I have had to deal with very difficult situations.
78,409.764,417.249,7.49,"When I started my career in Costa Rica, we were in the last decade of Latin America."
79,417.349,422.252,4.9,"We had defaulted in our debt, and I was in the Ministry of Finance."
80,423.152,430.698,7.55,"And I had to navigate that situation that was with huge constraints, with huge pressures on you."
81,431.619,447.652,16.03,"And I have learned to live under pressure, to take decisions, to take tough decisions, and also to be able to have the team and be the team leader that is necessary for those situations."
82,448.172,456.074,7.9,"So I believe I am experienced, I am confident, I am determined, and I am a good leader."
83,456.615,460.736,4.12,So I can be the secretary and the general at the same time.
86,468.138,473.98,5.84,"Yeah, but you know, there is part of being a secretary that will be very important also this time."
87,474.512,474.752,0.24,Yes?
88,475.252,477.534,2.28,That is your management skills.
