term,count
know,18
secretary,14
general,13
people,13
think,12
things,10
need,10
it's,9
financial,8
able,8
yes,8
said,7
world,7
problem,7
civil,7
that's,7
time,7
don't,7
young,6
mechanisms,6
office,6
want,6
organization,6
job,6
ask,6
good,6
mechanism,5
society,5
solve,5
today,5
rights,5
second,4
difficult,4
going,4
team,4
important,4
probably,4
come,4
youth,4
rules,4
say,4
point,4
future,4
peace,4
reform,4
bring,4
countries,4
believe,3
charter,3
running,3
home,3
yeah,3
structure,3
thought,3
decisions,3
trust,3
just,3
thing,3
way,3
let,3
resources,3
happening,3
enter,3
human,3
contributions,3
haven't,3
finance,3
capacities,3
i'm,3
rica,3
partner,3
management,3
question,3
change,3
leader,3
happen,3
war,3
costa,3
okay,2
1945,2
moment,2
conflicts,2
everybody,2
situations,2
lot,2
sense,2
started,2
agenda,2
anxious,2
table,2
true,2
help,2
makes,2
agile,2
inside,2
flexible,2
allow,2
support,2
defending,2
international,2
life,2
takes,2
let's,2
black,2
initiative,2
sea,2
pyramidal,2
bureaucratic,2
absolutely,2
willing,2
huge,2
career,2
live,2
drive,2
main,2
money,2
representation,2
restored,2
small,2
reported,2
really,2
forward,2
worked,2
presence,2
saying,2
create,2
work,2
use,2
maybe,2
pillar,2
exams,2
entry,2
open,2
level,2
assessed,2
china,2
panorama,2
political,2
25,2
44,2
right,2
years,2
tell,2
discussion,2
tonight,2
family,2
