id,word,debate,count_bachelet,count_espinosa,count_grossi,count_grynspan,count_sall
1,secretary general,unauk,13,12,13,13,0
2,united nations,unauk,5,4,8,0,0
3,human rights,unauk,7,5,0,3,0
4,civil society,unauk,4,4,0,5,0
5,peace security,unauk,7,2,3,0,0
6,young people,unauk,0,6,0,5,0
7,climate change,unauk,4,3,0,0,0
8,member states,unauk,3,3,0,0,0
9,human dignity,unauk,2,3,0,0,0
10,security council,unauk,2,3,0,0,0
11,need continue,unauk,5,0,0,0,0
12,think need,unauk,3,0,2,0,0
13,best person,unauk,0,0,4,0,0
14,office secretary general,unauk,0,0,0,4,0
15,decision making,unauk,0,4,0,0,0
16,sustainable development,unauk,2,2,0,0,0
17,good offices,unauk,2,2,0,0,0
18,going happen,unauk,0,0,4,0,0
19,financial rules,unauk,0,0,0,4,0
20,office secretary,unauk,0,0,0,4,0
21,play role,unauk,0,0,3,0,0
22,man woman,unauk,0,0,3,0,0
23,early action,unauk,0,3,0,0,0
24,strongly believe,unauk,0,3,0,0,0
25,members security,unauk,0,3,0,0,0
26,costa rica,unauk,0,0,0,3,0
27,don know,unauk,0,0,0,3,0
28,et cetera,unauk,3,0,0,0,0
29,members security council,unauk,0,3,0,0,0
30,humanitarian assistance,unauk,3,0,0,0,0
31,defining challenge,unauk,0,2,0,0,0
32,yeah know,unauk,0,0,0,2,0
33,sustainable development goals,unauk,0,2,0,0,0
34,veto power,unauk,0,2,0,0,0
35,declaration future generations,unauk,0,2,0,0,0
36,people don know,unauk,0,0,0,2,0
37,good idea,unauk,0,2,0,0,0
38,human rights pillar,unauk,0,0,0,2,0
39,cetera need continue,unauk,2,0,0,0,0
40,role secretary,unauk,0,2,0,0,0
41,trust organization,unauk,0,0,0,2,0
42,peace security thing,unauk,2,0,0,0,0
43,declaration future,unauk,0,2,0,0,0
44,youth office,unauk,2,0,0,0,0
45,development human,unauk,2,0,0,0,0
46,early warning,unauk,2,0,0,0,0
47,mechanisms use,unauk,0,0,0,2,0
48,protect lives,unauk,2,0,0,0,0
49,general yeah,unauk,0,0,2,0,0
50,best person job,unauk,0,0,2,0,0
51,new york,unauk,0,2,0,0,0
52,rule law,unauk,2,0,0,0,0
53,absolutely vital,unauk,0,2,0,0,0
54,rights pillar,unauk,0,0,0,2,0
55,development human rights,unauk,2,0,0,0,0
56,delivered new york,unauk,0,2,0,0,0
57,people come,unauk,0,0,0,2,0
58,issue man woman,unauk,0,0,2,0,0
59,continue doing,unauk,2,0,0,0,0
60,person best person,unauk,0,0,2,0,0
61,people don,unauk,0,0,0,2,0
62,terms energy,unauk,0,0,2,0,0
63,countries help,unauk,2,0,0,0,0
64,pillars peace,unauk,2,0,0,0,0
65,think important,unauk,0,2,0,0,0
66,interstate war,unauk,0,0,2,0,0
67,don think,unauk,0,2,0,0,0
68,believe secretary general,unauk,2,0,0,0,0
69,right ambition,unauk,0,2,0,0,0
70,huge implementation gap,unauk,0,2,0,0,0
71,person best,unauk,0,0,2,0,0
72,entry point,unauk,0,0,0,2,0
73,mechanism human,unauk,0,0,0,2,0
74,bureaucratic structure,unauk,0,0,0,2,0
75,25 years,unauk,0,2,0,0,0
76,young people come,unauk,0,0,0,2,0
77,black sea,unauk,0,0,0,2,0
78,financial problem,unauk,0,0,0,2,0
79,exile learned,unauk,2,0,0,0,0
80,person job best,unauk,0,0,2,0,0
81,think integrity,unauk,0,2,0,0,0
82,believe power,unauk,0,2,0,0,0
83,human dignity human,unauk,0,2,0,0,0
84,dignity human,unauk,0,2,0,0,0
85,insider outsider,unauk,0,2,0,0,0
86,international peace,unauk,0,0,2,0,0
87,pillars peace security,unauk,2,0,0,0,0
88,cetera need,unauk,2,0,0,0,0
89,main mechanism human,unauk,0,0,0,2,0
90,don true,unauk,0,0,0,2,0
91,think things,unauk,0,0,0,2,0
92,people enter,unauk,0,0,0,2,0
93,principles charter,unauk,2,0,0,0,0
94,need think,unauk,2,0,0,0,0
95,making house,unauk,0,2,0,0,0
96,job best,unauk,0,0,2,0,0
97,crisis iran,unauk,0,0,2,0,0
98,future generations,unauk,0,2,0,0,0
99,assessed contributions,unauk,0,0,0,2,0
100,said need,unauk,2,0,0,0,0
101,early action hub,unauk,0,2,0,0,0
102,civil society organizations,unauk,2,0,0,0,0
103,private sector,unauk,0,0,2,0,0
104,factor complexity,unauk,0,2,0,0,0
105,decision making house,unauk,0,2,0,0,0
106,development goals,unauk,0,2,0,0,0
107,issue man,unauk,0,0,2,0,0
108,delivered new,unauk,0,2,0,0,0
109,climate action,unauk,2,0,0,0,0
110,et cetera need,unauk,2,0,0,0,0
111,climate shocks,unauk,0,2,0,0,0
112,role secretary general,unauk,0,2,0,0,0
113,second point,unauk,0,0,0,2,0
114,know know,unauk,0,2,0,0,0
115,main mechanism,unauk,0,0,0,2,0
116,strongly believe power,unauk,0,2,0,0,0
117,concrete results,unauk,2,0,0,0,0
118,job best person,unauk,0,0,2,0,0
119,think need continue,unauk,2,0,0,0,0
120,evidence evidence,unauk,0,0,2,0,0
121,article 99,unauk,0,0,2,0,0
122,huge implementation,unauk,0,2,0,0,0
123,rights issue,unauk,0,2,0,0,0
124,mechanism human rights,unauk,0,0,0,2,0
125,implementation gap,unauk,0,2,0,0,0
126,years waiting,unauk,0,2,0,0,0
127,know mechanisms,unauk,0,0,0,2,0
128,thank important,unauk,0,0,2,0,0
129,security thing,unauk,2,0,0,0,0
130,common sense,unauk,0,0,2,0,0
131,international peace security,unauk,0,0,2,0,0
132,war reigns,unauk,0,0,2,0,0
133,thing think,unauk,2,0,0,0,0
134,working right,unauk,0,2,0,0,0
135,design future,unauk,2,0,0,0,0
136,things happening,unauk,0,0,0,2,0
137,doesn need,unauk,0,2,0,0,0
138,believe secretary,unauk,2,0,0,0,0
139,know secretary,unauk,0,0,0,2,0
140,good initiatives,unauk,0,2,0,0,0
141,action hub,unauk,0,2,0,0,0
142,person job,unauk,0,0,2,0,0
143,society organizations,unauk,2,0,0,0,0
