id,word,debate,count_bachelet,count_espinosa,count_grossi,count_grynspan,count_sall
1,think,unauk,18,17,15,12,0
2,need,unauk,27,15,8,10,0
3,general,unauk,16,13,15,13,0
4,secretary,unauk,13,12,13,14,0
5,know,unauk,5,7,7,18,0
6,people,unauk,8,14,0,13,0
7,say,unauk,7,8,9,4,0
8,believe,unauk,16,4,5,3,0
9,world,unauk,6,4,7,7,0
10,countries,unauk,12,4,4,4,0
11,things,unauk,6,3,5,10,0
12,important,unauk,3,7,10,4,0
13,course,unauk,3,10,9,0,0
14,climate,unauk,7,10,4,0,0
15,said,unauk,7,4,3,7,0
16,human,unauk,9,8,0,3,0
17,rights,unauk,9,6,0,5,0
18,don,unauk,8,3,2,7,0
19,security,unauk,9,6,4,0,0
20,time,unauk,0,3,9,7,0
21,peace,unauk,10,2,3,4,0
22,nations,unauk,5,4,9,0,0
23,development,unauk,5,8,5,0,0
24,united,unauk,5,4,9,0,0
25,organization,unauk,3,2,7,6,0
26,civil,unauk,4,5,0,7,0
27,good,unauk,2,8,0,6,0
28,today,unauk,2,4,4,5,0
29,life,unauk,8,5,0,2,0
30,want,unauk,4,5,0,6,0
31,able,unauk,2,2,3,8,0
32,job,unauk,0,3,5,6,0
33,charter,unauk,4,4,3,3,0
34,young,unauk,2,6,0,6,0
35,issue,unauk,0,10,4,0,0
36,reform,unauk,8,2,0,4,0
37,just,unauk,2,4,4,3,0
38,thing,unauk,7,0,3,3,0
39,international,unauk,5,2,4,2,0
40,years,unauk,2,6,3,2,0
41,society,unauk,4,4,0,5,0
42,work,unauk,3,3,4,2,0
43,thank,unauk,0,5,7,0,0
44,women,unauk,9,0,3,0,0
45,future,unauk,3,5,0,4,0
46,going,unauk,2,0,5,4,0
47,yes,unauk,0,3,0,8,0
48,happening,unauk,3,0,5,3,0
49,right,unauk,0,7,2,2,0
50,change,unauk,4,4,0,3,0
51,person,unauk,2,3,5,0,0
52,better,unauk,3,5,2,0,0
53,yeah,unauk,2,0,5,3,0
54,come,unauk,0,3,3,4,0
55,role,unauk,0,5,5,0,0
56,happen,unauk,2,0,4,3,0
57,make,unauk,5,2,2,0,0
58,problem,unauk,0,0,2,7,0
59,states,unauk,3,3,3,0,0
60,bring,unauk,0,2,3,4,0
61,action,unauk,3,6,0,0,0
62,office,unauk,2,0,0,6,0
63,principles,unauk,3,0,5,0,0
64,youth,unauk,4,0,0,4,0
65,working,unauk,3,5,0,0,0
66,ensure,unauk,6,2,0,0,0
67,second,unauk,2,2,0,4,0
68,best,unauk,3,0,5,0,0
69,financial,unauk,0,0,0,8,0
70,ask,unauk,0,0,2,6,0
71,ve,unauk,6,0,2,0,0
72,team,unauk,0,4,0,4,0
73,crisis,unauk,0,2,6,0,0
74,mechanisms,unauk,2,0,0,6,0
75,needs,unauk,5,2,0,0,0
76,continue,unauk,7,0,0,0,0
77,power,unauk,2,5,0,0,0
78,member,unauk,4,3,0,0,0
79,absolutely,unauk,0,3,2,2,0
80,like,unauk,5,2,0,0,0
81,dignity,unauk,4,3,0,0,0
82,lot,unauk,5,0,0,2,0
83,having,unauk,0,0,7,0,0
84,new,unauk,2,5,0,0,0
85,energy,unauk,0,2,5,0,0
86,war,unauk,0,0,4,3,0
87,conflict,unauk,4,3,0,0,0
88,trust,unauk,2,0,2,3,0
89,terms,unauk,0,0,7,0,0
90,money,unauk,3,2,0,2,0
91,really,unauk,5,0,0,2,0
92,look,unauk,0,3,4,0,0
93,solution,unauk,5,0,2,0,0
94,sense,unauk,0,0,4,2,0
95,field,unauk,6,0,0,0,0
96,decisions,unauk,3,0,0,3,0
97,making,unauk,2,4,0,0,0
98,offices,unauk,2,2,2,0,0
99,representation,unauk,4,0,0,2,0
100,support,unauk,2,2,0,2,0
101,doesn,unauk,3,3,0,0,0
102,difficult,unauk,0,0,2,4,0
103,country,unauk,3,3,0,0,0
104,doing,unauk,3,0,3,0,0
105,moral,unauk,2,0,3,0,0
106,decision,unauk,0,5,0,0,0
107,mean,unauk,5,0,0,0,0
108,contributions,unauk,0,0,2,3,0
109,lives,unauk,3,2,0,0,0
110,build,unauk,2,3,0,0,0
111,early,unauk,2,3,0,0,0
112,let,unauk,0,0,0,5,0
113,multilateralism,unauk,3,2,0,0,0
114,space,unauk,2,3,0,0,0
115,supporting,unauk,3,2,0,0,0
116,perspective,unauk,0,5,0,0,0
117,council,unauk,2,3,0,0,0
118,way,unauk,0,0,2,3,0
119,help,unauk,3,0,0,2,0
120,strongly,unauk,2,3,0,0,0
121,multilateral,unauk,3,0,2,0,0
122,mechanism,unauk,0,0,0,5,0
123,prevent,unauk,3,2,0,0,0
124,resources,unauk,2,0,0,3,0
125,pillars,unauk,2,3,0,0,0
126,talk,unauk,0,2,3,0,0
127,lack,unauk,2,3,0,0,0
128,leader,unauk,0,2,0,3,0
129,experience,unauk,3,0,2,0,0
130,trying,unauk,3,0,2,0,0
131,solve,unauk,0,0,0,5,0
132,point,unauk,0,0,0,4,0
133,moment,unauk,0,0,2,2,0
134,probably,unauk,0,0,0,4,0
135,prevention,unauk,2,2,0,0,0
136,saying,unauk,2,0,0,2,0
137,iran,unauk,0,0,4,0,0
138,small,unauk,0,2,0,2,0
139,day,unauk,2,0,2,0,0
140,places,unauk,2,0,2,0,0
141,idea,unauk,0,2,2,0,0
142,forward,unauk,2,0,0,2,0
143,lead,unauk,0,4,0,0,0
144,conviction,unauk,2,0,2,0,0
145,improved,unauk,2,2,0,0,0
146,focus,unauk,0,4,0,0,0
147,mission,unauk,0,0,4,0,0
148,okay,unauk,0,2,0,2,0
149,principle,unauk,0,2,2,0,0
150,institutions,unauk,2,2,0,0,0
151,common,unauk,2,0,2,0,0
